feature,ic,mean_fwd_when_pos,mean_fwd_when_neg,n_pos,n_neg
upside_pct_lvl,0.1390216575034653,0.023647322066345434,-0.0003146332090782954,4266,382
Relative Strength Index (14),-0.11010456952281895,0.030731227619193252,,11429,0
Short Float,0.10667001979570312,0.06018555931636672,,5697,0
Performance (Month),-0.10512176978737998,0.0010661638087058121,0.07299225544422373,6563,4716
d_20-Day Simple Moving Average,0.07185334756947895,0.003609751596711066,0.11124290938084945,8572,2881
d_50-Day Simple Moving Average,0.06261410531775491,0.003592250963313751,0.1111682875677728,8563,2884
d_Average Volume,-0.05721125187443709,0.07766769181444909,0.0020098670583957204,4352,6657
d_Performance (Quarter),0.05711158552044698,0.0017448792411750003,0.13767468783369374,8332,2435
Institutional Transactions,0.04857521425430437,0.11328038006500811,0.022409949197406836,2536,2487
true_ret,0.0485320223641221,0.0016830614698886803,0.09566284855006284,8421,2677
Relative Volume,0.04797083630878658,0.031273837405417754,,11237,0
d_200-Day Simple Moving Average,0.04726068772629476,0.0035220066296899758,0.11231850874234597,8578,2860
d_Performance (YTD),0.04547380291965667,0.0016796119980675742,0.0809815821156257,8488,2733
d_Target Price,-0.04470613723488203,0.0021552989529571324,0.004726441501457377,435,284
Performance (Week),0.0419354946096822,0.001814080156403998,0.1311922763308348,8834,2556
d_Performance (Week),0.03498942608682948,0.009679661534788364,0.07388561379644497,7544,3771
d_Short Ratio,0.03017378439201452,0.0021788067930296555,0.03933943632531707,4345,2655
d_Insider Transactions,0.02824129015730377,0.00701243386909397,0.00045783615400052017,198,207
d_Price,0.02570524965067029,0.0016830614698886803,0.09566284855006284,8421,2677
d_Relative Volume,0.025414343752347673,0.02621340512429662,0.0364435271459058,5190,5900
d_Sales Growth Quarter Over Quarter,-0.02271366955672102,0.0006733845138632861,0.0016989856289143556,202,183
d_Sales Year Over Year TTM,-0.02208587580684503,0.0005810399311034558,0.0025300246006804937,205,157
d_Analyst Recom,-0.01986872274586459,0.0014497707521252423,0.0020019561125255696,80,72
d_Profit Margin,0.018272873905833834,0.0023004712631246927,4.3737705133884515e-05,211,181
d_Gross Margin,0.017426502256423903,0.002610443145391699,0.001398512404422416,220,194
d_Relative Strength Index (14),-0.016052581890781722,0.001675541080775519,0.12305047129647936,8449,2738
d_Forward P/E,0.015935529460259022,0.0022360280243906797,0.0024887072577425553,1801,1182
d_EPS Surprise,-0.01435520604443404,0.001740958913993629,0.003745373137464973,111,82
d_Institutional Ownership,-0.011978937388365045,0.0037243930056869803,0.0031469286225650063,66,117
d_Market Cap,0.004214671524422786,0.014273177761135326,0.13766062112840488,3601,2131
d_Performance (Month),-0.00337129638954446,0.009284069537800645,0.05708227628061468,5945,5186
