signal_asof,prediction_day,horizon,bucket,Ticker,Industry,total_score,entry_price,exit_price,fwd,expected,hit
2026-08-10,2026-08-11,1d,TOP_LONG,ACHR,Aerospace & Defense,8.5,6.26,6.79,0.0846645367412139,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,ATCX,Other Precious Metals & Mining,8.25,3.14,3.2,0.019108280254777,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,MP,Other Industrial Metals & Mining,8.25,54.66,55.24,0.0106110501280645,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,LAR,Other Industrial Metals & Mining,8.25,7.1,6.65,-0.0633802816901407,UP,False
2026-08-10,2026-08-11,1d,TOP_LONG,ALOY,Other Industrial Metals & Mining,8.25,12.98,12.75,-0.0177195685670262,UP,False
2026-08-10,2026-08-11,1d,TOP_LONG,SLI,Other Industrial Metals & Mining,8.25,2.53,2.45,-0.0316205533596836,UP,False
2026-08-10,2026-08-11,1d,TOP_LONG,SLSR,Other Precious Metals & Mining,8.25,8.25,8.13,-0.0145454545454544,UP,False
2026-08-10,2026-08-11,1d,TOP_LONG,PDS,Oil & Gas Drilling,8.0,81.39,83.02,0.0200270303477085,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,GLBS,Marine Shipping,8.0,3.39,3.68,0.0855457227138642,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,DDC,Packaged Foods,8.0,0.55,0.49,-0.1090909090909091,UP,False
2026-08-10,2026-08-11,1d,TOP_LONG,PPBT,Biotechnology,8.0,1.5,1.55,0.0333333333333334,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,SAFX,Utilities - Renewable,8.0,0.45,0.45,0.0,UP,False
2026-08-10,2026-08-11,1d,TOP_LONG,CRC,Oil & Gas E&P,8.0,53.75,54.13,0.0070697674418604,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,NSLR,Asset Management,8.0,10.33,10.64,0.0300096805421103,UP,True
2026-08-10,2026-08-11,1d,TOP_LONG,HNRG,Utilities - Independent Power Producers,8.0,15.88,15.64,-0.0151133501259446,UP,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,FEDU,Education & Training Services,-7.75,7.5,6.91,-0.0786666666666666,DOWN,True
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,UAN,Agricultural Inputs,-7.75,117.01,120.17,0.0270062387830098,DOWN,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,AFL,Insurance - Life,-7.75,121.94,121.07,-0.0071346563883877,DOWN,True
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,PSMT,Discount Stores,-7.75,168.81,172.86,0.0239914696996623,DOWN,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,WPP,Advertising Agencies,-8.25,26.69,27.04,0.0131135256650429,DOWN,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,NYC,Real Estate Services,-8.5,8.23,8.0,-0.0279465370595383,DOWN,True
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,TISI,Specialty Business Services,-8.5,16.55,22.71,0.3722054380664652,DOWN,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,VSTS,Rental & Leasing Services,-8.5,13.87,13.88,0.0007209805335257,DOWN,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,OPHC,Banks - Regional,-9.0,8.92,9.2,0.0313901345291478,DOWN,False
2026-08-10,2026-08-11,1d,BOTTOM_SHORT,HNST,Household & Personal Products,-9.0,5.23,5.21,-0.0038240917782027,DOWN,True
