feature,ic,ic_within_up,ic_within_down,mean_fwd_when_pos,mean_fwd_when_neg,n_pos,n_neg
d_Performance (Month),0.14513881965675418,0.3107776358510036,-0.09628107763221287,0.005424549795995495,-0.0005815931696018683,7758,3463
d_Performance (Quarter),-0.1256577114980552,-0.060519196669267056,-0.13143667822367586,0.0003492163118797721,0.005293949447825869,5736,5009
d_Performance (Week),-0.11658127258646356,-0.26465495891772717,0.07621363205012316,-0.0003521056370382129,0.005045246123044178,2858,8494
Performance (Week),-0.0858450765496531,-0.09420649478994567,-0.04547437758540192,0.0006456651327118935,0.007085212474750627,6032,5301
d_Beta,-0.08107416531352823,-0.12173115815464762,-0.03461547945532514,-0.001545096230352619,0.005602952465620614,1463,1965
Institutional Transactions,0.0509642866976725,0.05781827293992993,-0.03194510384625373,0.002710024149744341,0.0005858966260080458,2521,2519
Performance (Month),-0.04923830950842078,-0.0683298602161996,0.06202260464066897,0.0019930844154929317,0.006085158922850314,6985,4304
d_Price,0.042258200210468604,0.08217912262188137,-0.017898037627417086,0.004697500858423142,0.0028841489221346044,5857,4933
Relative Strength Index (14),-0.040203519117375415,-0.2181934129971471,0.18895068993961134,0.0036507740780615913,,11436,0
d_20-Day Simple Moving Average,0.03332015165624701,0.10622957689896358,-0.08594371409845832,0.005122359012981532,0.0023180266940234025,5731,5661
d_Performance (YTD),0.03020146507033608,0.08985331350008816,-0.04262177779952761,0.004626511327482461,0.0029344931573059003,5978,5046
d_Insider Transactions,0.028134805328172134,-0.010401784011854293,0.001859552266498106,0.005779759220980231,0.00027279594765095266,164,220
d_Average Volume,-0.024757706080056542,-0.051222386062232325,-0.02918011217182793,0.00262703033456872,0.004786311897979937,5279,5704
d_Analyst Recom,-0.023890057818706765,0.02183987208621654,-0.022842789325024183,0.0007616412733318902,0.008790611310980849,68,75
upside_pct_lvl,-0.02375414100283241,0.3541276837565436,-0.34123863689846423,0.0025198518253076885,-0.002390854759248753,4278,370
true_ret,0.022578170522939724,0.09034809191140958,-0.054799007788581156,0.004697500858423142,0.0028841489221346044,5857,4933
d_Relative Volume,-0.021112221958511434,-0.032651827052840976,-0.011923176822791563,0.0036382219961649726,0.00390750899794271,4530,6599
d_50-Day Simple Moving Average,0.01928723123775569,0.11957929288054596,-0.09711453482086595,0.004609004368595011,0.0027286282421938556,6070,5310
d_Sales Growth Quarter Over Quarter,-0.018519411742887865,-0.023239725567208755,-0.02361371998981516,0.00021414485657372174,0.007416460853452745,89,103
d_Forward P/E,-0.017188022949074816,-0.0399498283848419,-0.037410354296170754,0.0019946650354345347,0.0035293216688863606,1665,1316
d_Sales Year Over Year TTM,-0.015405695242969098,-0.016147649834972,-0.027610515022794817,-0.0003739615017656327,0.0024976121185727213,92,95
d_Gross Margin,-0.014824296859658484,-0.018373935090269047,0.004907999820713345,0.0031171898964951488,0.002132680183983557,90,103
d_Short Float,-0.014242169474838608,0.003792757084040302,-0.0106291080078416,-0.007314322085416801,-0.0014163294195751524,48,36
d_Market Cap,-0.011406080144455431,-0.026805940438187712,0.010222550785510653,0.00042591895482864693,0.003157103122543965,3183,2513
d_Institutional Ownership,-0.010588058551265973,-0.04832234665034057,0.041480158713225815,0.00012630787468126167,0.002552143121876974,182,349
d_Volatility (Month),-0.009833698982590275,0.0615559083818496,-0.08359541956030625,0.003993615691460457,0.0036224696702133047,4698,4534
d_Target Price,0.008515587561965202,-0.0610331290609985,0.07627581021244123,0.002605094078270662,0.0005549511778688668,414,204
Relative Volume,-0.008146936551519799,0.07096770551664024,-0.03727397969676698,0.003735728206297855,,11273,0
d_Profit Margin,-0.008015036441662677,-0.01688113370657252,0.01619134710543106,-1.66385157323419e-05,0.0062163056760833335,101,97
d_Short Ratio,-0.004154186894581598,0.043520004436940846,0.008455063946752377,0.0036348082419440015,0.004034292145032525,3581,3162
d_Total Debt/Equity,0.003008466479990442,-0.006405831061860548,-0.005677294199254265,0.0024100137728548196,0.006079839351447537,93,74
d_200-Day Simple Moving Average,0.0014898862669613811,0.08704408764754869,-0.08130701647317266,0.004796874069666888,0.0026241336079479522,5980,5374
Short Float,0.0010720151540329257,0.19005068718927748,-0.17556139927124842,0.001620811691673546,,5696,0
d_EPS Surprise,-0.0008288703250606582,0.014805223019052382,-0.0009584407117080786,-0.0034654671185042865,-0.0037086988477369586,99,119
d_Relative Strength Index (14),-0.0005427183233187156,0.03971870931314908,-0.03150913493900696,0.0044963546867363745,0.002957222410866252,5980,5049
