signal_asof,prediction_day,horizon,Ticker,Industry,total_score,entry_price,exit_price,fwd,expected,hit
2026-08-13,2026-08-14,1d,OXBR,Insurance - Reinsurance,7.03,1.3,1.53,0.1769230769230769,UP,True
2026-08-13,2026-08-14,1d,SNDK,Computer Hardware,6.28,1528.11,1641.11,0.0739475561314302,UP,True
2026-08-13,2026-08-14,1d,HYLN,Electrical Equipment & Parts,6.28,4.11,4.06,-0.0121654501216547,UP,False
2026-08-13,2026-08-14,1d,XE,Specialty Industrial Machinery,6.28,22.73,20.98,-0.0769907611086669,UP,False
2026-08-13,2026-08-14,1d,PXLW,Semiconductors,5.78,7.18,6.98,-0.0278551532033425,UP,False
2026-08-13,2026-08-14,1d,ACHR,Aerospace & Defense,5.78,6.97,6.62,-0.0502152080344332,UP,False
2026-08-13,2026-08-14,1d,GMTL,Other Precious Metals & Mining,5.53,13.59,12.91,-0.050036791758646,UP,False
2026-08-13,2026-08-14,1d,LAC,Other Industrial Metals & Mining,5.53,3.43,3.38,-0.0145772594752187,UP,False
2026-08-13,2026-08-14,1d,SHEN,Telecom Services,5.53,13.43,13.27,-0.0119136262099777,UP,False
2026-08-13,2026-08-14,1d,OKLO,Utilities - Independent Power Producers,5.53,46.45,44.38,-0.0445640473627556,UP,False
2026-08-13,2026-08-14,1d,MP,Other Industrial Metals & Mining,5.53,55.66,58.74,0.0553359683794467,UP,True
2026-08-13,2026-08-14,1d,FNUC,Other Industrial Metals & Mining,5.53,1.92,1.82,-0.0520833333333332,UP,False
2026-08-13,2026-08-14,1d,CIEN,Communication Equipment,5.53,442.79,428.77,-0.0316628650150184,UP,False
2026-08-13,2026-08-14,1d,NNE,Specialty Industrial Machinery,5.53,20.52,19.66,-0.0419103313840155,UP,False
2026-08-13,2026-08-14,1d,FIP,Conglomerates,5.53,4.66,4.51,-0.0321888412017168,UP,False
2026-08-13,2026-08-14,1d,EMPD,Auto Manufacturers,5.53,2.83,2.89,0.0212014134275617,UP,True
2026-08-13,2026-08-14,1d,GRRR,Software - Infrastructure,5.53,15.43,16.37,0.0609202851587817,UP,True
2026-08-13,2026-08-14,1d,TOMZ,Pollution & Treatment Controls,5.53,1.87,1.75,-0.0641711229946524,UP,False
2026-08-13,2026-08-14,1d,ALB,Specialty Chemicals,5.53,130.48,136.15,0.0434549356223177,UP,True
2026-08-13,2026-08-14,1d,TLSA,Biotechnology,5.47,1.04,1.13,0.0865384615384614,UP,True
2026-08-13,2026-08-14,1d,ATNM,Biotechnology,5.47,0.96,1.04,0.0833333333333334,UP,True
2026-08-13,2026-08-14,1d,SPCB,Security & Protection Services,5.47,11.2,10.75,-0.0401785714285714,UP,False
2026-08-13,2026-08-14,1d,INDI,Semiconductors,5.47,4.14,4.71,0.13768115942029,UP,True
2026-08-13,2026-08-14,1d,JOB,Staffing & Employment Services,5.47,0.23,0.25,0.0869565217391303,UP,True
2026-08-13,2026-08-14,1d,SOS,Capital Markets,5.47,0.92,0.87,-0.0543478260869565,UP,False
2026-08-13,2026-08-14,1d,MCHX,Advertising Agencies,5.47,1.82,1.85,0.0164835164835164,UP,True
2026-08-13,2026-08-14,1d,RIME,Consumer Electronics,5.47,0.45,0.38,-0.1555555555555555,UP,False
2026-08-13,2026-08-14,1d,BTGO,Capital Markets,5.47,5.53,5.76,0.0415913200723325,UP,True
2026-08-13,2026-08-14,1d,PTN,Biotechnology,5.47,10.0,9.36,-0.064,UP,False
2026-08-13,2026-08-14,1d,CVV,Specialty Industrial Machinery,5.47,7.51,8.07,0.0745672436750999,UP,True
2026-08-13,2026-08-14,1d,CCG,Internet Content & Information,5.47,17.01,16.94,-0.0041152263374485,UP,False
2026-08-13,2026-08-14,1d,PHAR,Biotechnology,5.47,12.35,11.72,-0.0510121457489878,UP,False
2026-08-13,2026-08-14,1d,XAIR,Medical Devices,5.47,6.92,6.32,-0.0867052023121386,UP,False
2026-08-13,2026-08-14,1d,ANGX,Entertainment,5.47,4.32,4.37,0.0115740740740739,UP,True
2026-08-13,2026-08-14,1d,PSQH,Software - Application,5.47,4.19,4.62,0.1026252983293556,UP,True
2026-08-13,2026-08-14,1d,CRMD,Biotechnology,5.47,8.14,7.54,-0.0737100737100737,UP,False
2026-08-13,2026-08-14,1d,CREX,Software - Application,5.47,3.36,3.28,-0.0238095238095238,UP,False
