feature,ic,ic_within_up,ic_within_down,mean_fwd_when_pos,mean_fwd_when_neg,n_pos,n_neg
d_Performance (Month),-0.18217173418806923,-0.23844925344057855,-0.010179992349525343,0.0035112372511085124,0.009077634400746382,3643,7666
d_Performance (Quarter),0.17306464101732968,0.34333407019822687,-0.11126177489923057,0.008773691311663969,-0.0004456429772678267,8641,2218
Performance (Week),-0.12349108905156513,-0.23072502361137315,0.0589922976792796,0.002574526731086017,0.009144180496412956,3443,7963
d_Forward P/E,-0.11760906079206558,-0.11052384208306291,-0.11312082753359061,0.005311705666797858,0.010553767877086454,2008,943
d_Price,0.07282384868139928,-0.0014028696154227225,-0.003380810805366487,0.006299700667569866,0.009757681938913352,7768,3237
upside_pct_lvl,-0.05871657174581255,0.29676980797159963,-0.336313528404234,0.005116311395463955,0.0007107015315506051,4324,328
d_Average Volume,-0.04877766389320818,-0.13856793330908226,0.038818753116472864,0.005930945896054282,0.007902209379607235,4368,6697
d_Short Ratio,0.046205717912421694,0.1020243318095189,-0.03351041625055018,0.008303558119697624,0.005798412950512448,4436,2664
d_Institutional Ownership,0.03731586346085241,0.004849786531957017,0.03038382098387049,0.005771464278404205,0.004779174599763656,1874,537
d_Sales Growth Quarter Over Quarter,0.03340289474033116,-0.00015728302918514907,0.027461472600795428,0.007423399711820012,-0.01745718699910698,8,11
d_Sales Year Over Year TTM,0.033372820859685286,0.03076415778246814,0.019808122833937944,0.009277531688500188,-0.02401551605467982,9,9
d_Performance (Week),0.032078096912735755,0.13381248520722894,-0.10617035693547082,0.007782257789322484,0.00595166532695589,8019,3367
Relative Volume,-0.0319629490433031,-0.02341547641771487,0.028396456534670333,0.007172873388363344,,11356,0
d_EPS Surprise,0.03127870233500926,0.014257680044054826,0.0645309826807654,0.022882223797376307,-0.012712052777232107,23,17
d_Target Price,0.030816641169929476,0.020033412940296702,0.0159778030306343,0.00993475878071466,0.005197896266789105,135,128
d_Relative Volume,-0.027396729088855307,0.009614696520894653,-0.033459155201591255,0.006040455723932572,0.008170616788534174,4973,6187
d_Short Float,-0.02680822618234131,-0.024005271884751652,0.0041754615588082515,-0.01191077161191409,0.006535177661011207,43,82
Relative Strength Index (14),0.026330988259000467,0.06728926626753952,0.013614744947436523,0.007192623391372664,,11519,0
Institutional Transactions,-0.025218777032705142,0.018345212536189544,-0.08809266924779877,0.004869707591242943,0.004723002307362155,3183,1858
Performance (Month),-0.02342670784258802,-0.047138662336119186,0.05134387932047305,0.009225793627839665,0.005822272761304751,4719,6682
Short Float,0.021915550425789205,0.13662525740910653,-0.1603302104303467,0.004095313976028687,,5703,0
d_Profit Margin,0.021012001839267044,0.025235033441715793,-0.0055050403362428115,0.0011723340737376734,-0.02237016950256,11,9
d_Analyst Recom,-0.017352625601460666,0.0027806743869426037,-0.03511153462664759,0.008778658200315141,0.011056933822799384,75,105
d_20-Day Simple Moving Average,0.016936234653682793,0.08810524005497009,-0.11389352082710494,0.005856282037446281,0.010332749121301473,8203,3289
d_Gross Margin,0.015679259479228474,0.014426227862947555,0.004107146133877657,8.925875793106691e-05,-0.012723453992718497,12,10
d_Performance (YTD),0.015199510604964897,0.04209092537187469,-0.07214894101041745,0.0063203621534801005,0.009714698797177578,7876,3312
d_Relative Strength Index (14),0.014106231683567316,-0.14324855481074256,0.008492041231562998,0.0062904173282325995,0.009840647122403451,7843,3304
d_Insider Transactions,-0.011521331164546374,0.0197100694331411,-0.033209384807085934,-0.003519667557329973,0.0018664975121996373,97,217
d_200-Day Simple Moving Average,0.0113435452074924,0.06985743258095864,-0.10514726818238326,0.006245448893742905,0.009388340456159416,8040,3414
d_Total Debt/Equity,-0.010207350077583105,0.0007719704858135536,-0.013303687345917067,-0.024437261572870055,-0.006984544354933929,7,7
true_ret,0.009219927878114022,0.060000808924148635,-0.0903604389433459,0.006299700667569866,0.009757681938913352,7768,3237
d_Volatility (Month),-0.00521467383482667,-0.14284978359224476,0.14243402596750115,0.008459174372917759,0.006972568205644704,3776,5898
d_Beta,-0.004566167555285341,-0.01082395946406462,0.08469549059001599,0.006951540192565115,0.005845441924340471,3804,2926
d_50-Day Simple Moving Average,0.003025142148128374,0.07942925712994993,-0.12713987361153747,0.005814308175227871,0.010238578398613857,8088,3405
d_Market Cap,0.00025782799249371246,-0.07639045364489858,0.02271766635986192,0.0030764659078381835,0.005115867466707999,3609,2101
