Ticker,Company,Sector,Industry,Index,Price,Market Cap,Average Volume,Relative Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (YTD),Relative Strength Index (14),Short Float,Short Ratio,Institutional Transactions,Institutional Ownership,Insider Transactions,Analyst Recom,Target Price,Forward P/E,Sales Year Over Year TTM,Sales Growth Quarter Over Quarter,EPS Surprise,Profit Margin,Gross Margin,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,price_then,true_ret,true_ret_dir,cat_nuclear_smr,cat_optics_transceiver,cat_data_center_power,cat_hbm_memory,cat_copper_metals,cat_ai_capex,cat_defense,cat_semiconductor_equip,upside_pct_lvl,scan_date,pair_date,n_universe,total_score,score_100,confidence,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,kill_flags,n_pos,n_neg,w_pos,w_neg,n_catalysts,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,mcap_bucket,beta_bucket
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,S&P 500,141.34,39918.93,2380.61,0.49,1.9,9.51,20.1,3.87,62.95,2.68,3.17,-0.53,91.4,-0.17,1.71,159.33,21.41,9.11,10.01,5.79,19.55,52.79,3.25,5.68,7.88,,,na,0,0,0,0,0,0,0,0,12.728173199377393,2026-08-06,,11555,0.05,0.2,1.0,,12.7,NEUTRAL,UPTREND,LOW,OK,,2,2,1.3,1.25,0,0.0,-0.75,1.0,0.0,0.3,0.0,-0.5,large,unknown
AA,Alcoa Corp,Basic Materials,Aluminum,-,47.48,12530.42,5541.89,0.79,5.58,-2.12,-24.94,-10.65,46.71,3.42,1.62,-4.01,81.67,-0.32,1.94,66.47,7.66,6.14,28.64,-5.93,9.33,14.2,3.47,-15.35,-15.67,,,na,0,0,0,0,0,0,1,0,39.99578770008425,2026-08-06,,11555,2.5,9.9,1.0,,40.0,NEUTRAL,DOWNTREND,LOW,OK,,3,0,2.5,0.0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.5,large,unknown
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,-,24.97,,10.37,0.28,-0.12,-0.16,0.16,-0.12,48.64,,1.23,,,,,,,,,,,,-0.03,-0.03,-0.07,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.25,-1.0,1.0,,,NEUTRAL,DOWNTREND,LOW,OK,,1,2,1.0,1.25,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.5,unknown,unknown
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,-,30.7,,6.21,0.75,2.75,1.91,2.41,12.29,59.5,,1.06,,,,,,,,,,,,1.79,1.44,7.96,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,0.5,2.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,1,1.0,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,unknown,unknown
AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,-,20.07,,76.49,0.0,-0.05,0.17,0.15,0.05,52.15,,0.0,,,,,,,,,,,,0.01,0.06,0.08,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.25,-1.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,1.0,1.25,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.5,unknown,unknown
AAAD,PGIM AAA CLO Aggregate Duration ETF,Financial,Exchange Traded Fund,-,49.51,,0.27,0.04,-0.65,-0.81,,-0.83,40.18,,0.84,,,,,,,,,,,,-0.59,-0.89,-0.89,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-1.75,-6.9,1.0,,,NEUTRAL,DOWNTREND,LOW,OK,,0,3,0.0,1.75,0,0.0,-0.75,-0.5,0.0,0.0,0.0,-0.5,unknown,unknown
AAAP,Pacer Barings CLO Market Flex ETF,Financial,Exchange Traded Fund,-,25.31,,92.8,0.09,-0.12,0.44,,0.74,68.17,,0.0,,,,,,,,,,,,0.07,0.24,0.24,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.75,-3.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,0.5,1.25,0,0.0,-0.75,0.5,0.0,0.0,0.0,-0.5,unknown,unknown
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,-,41.89,,1514.91,0.76,3.38,4.1,-9.49,-1.55,60.38,,0.3,,,,,,,,,,,,4.29,1.93,-5.24,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,0.5,2.0,1.0,,,NEUTRAL,MIXED,LOW,OK,,1,1,1.0,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,unknown,unknown
AAC-U,Ares Acquisition Corp III,Financial,Shell Companies,-,10.19,402.5,650.37,0.46,-0.1,1.29,,1.19,66.53,,1.06,,4.59,,,,,,,,,,0.93,1.0,1.0,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.75,-3.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,0.5,1.25,0,0.0,-0.75,0.5,0.0,0.0,0.0,-0.5,small,unknown
AACB,Artius II Acquisition Inc,Financial,Shell Companies,-,10.52,291.14,33.05,0.0,-0.09,0.1,1.35,2.14,49.33,0.01,0.05,,76.92,0.0,,,,,,,,,-0.12,0.13,2.02,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.25,-1.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,1.0,1.25,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.5,micro,unknown
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,-,0.9,38.73,14.6,0.35,-1.83,-6.39,-24.37,13.88,42.96,0.13,0.78,-0.22,5.98,,1.0,6.5,,0.28,-10.45,,-17.93,48.7,-3.35,-9.71,-13.29,,,na,0,0,0,0,0,0,0,0,622.2222222222222,2026-08-06,,11555,-0.75,-3.0,1.0,,622.2,NEUTRAL,DOWNTREND,LOW,OK,,1,3,1.0,1.75,0,0.0,-0.75,-0.5,0.0,1.0,0.0,-0.5,micro,unknown
AACI,Armada Acquisition Corp III,Financial,Shell Companies,-,10.02,340.81,40.38,0.0,0.35,0.35,0.91,0.65,66.88,0.0,0.03,,23.22,0.0,,,,,,,,,0.37,0.66,0.82,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.75,-3.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,0.5,1.25,0,0.0,-0.75,0.5,0.0,0.0,0.0,-0.5,small,unknown
AACO,Abony Acquisition Corp I,Financial,Shell Companies,-,9.95,312.52,21.85,0.0,0.0,0.1,0.4,0.0,52.97,,0.07,,6.01,,,,,,,,,,0.07,0.39,0.39,,,na,0,0,0,0,0,0,0,0,,2026-08-06,,11555,-0.25,-1.0,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,1.0,1.25,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.5,small,unknown
