Ticker,Company,Sector,Industry,Index,Price,Market Cap,Average Volume,Relative Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (YTD),Relative Strength Index (14),Short Float,Short Ratio,Institutional Transactions,Institutional Ownership,Insider Transactions,Analyst Recom,Target Price,Forward P/E,Sales Year Over Year TTM,Sales Growth Quarter Over Quarter,EPS Surprise,Profit Margin,Gross Margin,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Beta,Volatility (Month),Total Debt/Equity,price_then,true_ret,true_ret_dir,d_Price,dir_Price,d_Market Cap,dir_Market Cap,d_Average Volume,dir_Average Volume,d_Relative Volume,dir_Relative Volume,d_Performance (Week),dir_Performance (Week),d_Performance (Month),dir_Performance (Month),d_Performance (Quarter),dir_Performance (Quarter),d_Performance (YTD),dir_Performance (YTD),d_Relative Strength Index (14),dir_Relative Strength Index (14),d_Short Float,dir_Short Float,d_Short Ratio,dir_Short Ratio,d_Institutional Transactions,dir_Institutional Transactions,d_Institutional Ownership,dir_Institutional Ownership,d_Insider Transactions,dir_Insider Transactions,d_Analyst Recom,dir_Analyst Recom,d_Target Price,dir_Target Price,d_Forward P/E,dir_Forward P/E,d_Sales Year Over Year TTM,dir_Sales Year Over Year TTM,d_Sales Growth Quarter Over Quarter,dir_Sales Growth Quarter Over Quarter,d_EPS Surprise,dir_EPS Surprise,d_Profit Margin,dir_Profit Margin,d_Gross Margin,dir_Gross Margin,d_20-Day Simple Moving Average,dir_20-Day Simple Moving Average,d_50-Day Simple Moving Average,dir_50-Day Simple Moving Average,d_200-Day Simple Moving Average,dir_200-Day Simple Moving Average,cat_nuclear_smr,cat_optics_transceiver,cat_data_center_power,cat_hbm_memory,cat_copper_metals,cat_ai_capex,cat_defense,cat_semiconductor_equip,upside_pct_lvl,scan_date,pair_date,n_universe,total_score,score_100,confidence,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,kill_flags,n_pos,n_neg,w_pos,w_neg,n_catalysts,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,mcap_bucket,beta_bucket
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,S&P 500,145.97,41226.59,2355.62,0.65,5.49,9.27,23.03,7.28,69.83,2.68,3.2,-0.53,91.4,-0.17,1.71,159.33,22.11,9.11,10.01,5.79,19.55,52.79,6.17,8.66,11.41,1.23,2.75,0.47,141.34,0.032757888778831123,up,4.6299999999999955,up,1307.6599999999962,up,-24.990000000000236,down,0.16000000000000003,up,3.5900000000000003,up,-0.2400000000000002,down,2.9299999999999997,up,3.41,up,6.8799999999999955,up,0.0,down,0.03000000000000025,up,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.6999999999999993,up,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,2.92,up,2.9800000000000004,up,3.5300000000000002,up,0,0,0,0,0,0,0,0,9.152565595670353,2026-08-07,2026-08-06,11560,3.8,15.1,0.8,3.28,9.2,NEUTRAL,UPTREND,LOW,OK,UNCONFIRMED_RALLY,4,1,4.3,0.5,0,3.0,0.0,1.0,0.0,0.3,0.0,-0.5,large,mid
AA,Alcoa Corp,Basic Materials,Aluminum,-,50.17,13240.34,5547.13,1.07,10.85,2.98,-19.91,-5.59,55.0,3.42,1.62,-4.01,81.67,-0.32,1.94,66.47,8.09,6.14,28.64,-5.93,9.33,14.2,9.15,-9.82,-10.98,1.62,3.66,0.3,47.48,0.056655433866891425,up,2.690000000000005,up,709.9200000000001,up,5.239999999999782,up,0.28,up,5.27,up,5.1,up,5.030000000000001,up,5.0600000000000005,up,8.29,up,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.4299999999999997,up,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,5.68,up,5.529999999999999,up,4.6899999999999995,up,0,0,0,0,0,0,1,0,32.48953557903128,2026-08-07,2026-08-06,11560,7.5,29.8,0.8,5.67,32.5,NEUTRAL,DOWNTREND,LOW,OK,UNCONFIRMED_RALLY,6,0,7.5,0.0,1,4.5,0.0,1.5,0.0,1.0,0.0,0.5,large,high
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,-,24.98,,10.17,0.08,0.24,-0.1,0.28,-0.1,49.28,,1.25,,,,,,,,,,,,-0.01,-0.01,-0.05,0.03,0.31,,24.97,0.00040048057669217485,flat,0.010000000000001563,up,,na,-0.1999999999999993,down,-0.2,down,0.36,up,0.06,up,0.12000000000000002,up,0.01999999999999999,up,0.6400000000000006,up,,na,0.020000000000000018,up,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.019999999999999997,up,0.019999999999999997,up,0.020000000000000004,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,-0.25,-1.0,1.0,0.04,,NEUTRAL,DOWNTREND,LOW,OK,,1,2,1.0,1.25,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.5,unknown,defensive
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,-,30.9,,6.28,0.78,2.91,1.87,3.65,13.01,62.35,,1.04,,,,,,,,,,,,2.36,2.06,8.57,0.89,0.49,,30.7,0.006514657980456029,flat,0.1999999999999993,up,,na,0.07000000000000028,up,0.030000000000000027,up,0.16000000000000014,up,-0.039999999999999813,down,1.2399999999999998,up,0.7200000000000006,up,2.8500000000000014,up,,na,-0.020000000000000018,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.5699999999999998,up,0.6200000000000001,up,0.6100000000000003,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,1.0,4.0,1.0,0.65,,NEUTRAL,UPTREND,LOW,OK,,2,1,1.5,0.5,0,0.0,0.0,1.5,0.0,0.0,0.0,-0.5,unknown,mid
AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,-,20.08,,76.48,0.0,-0.05,0.25,0.2,0.1,56.54,,0.0,,,,,,,,,,,,0.05,0.11,0.13,,0.04,,20.07,0.0004982561036370736,flat,0.00999999999999801,up,,na,-0.009999999999990905,down,0.0,down,0.0,down,0.07999999999999999,up,0.05000000000000002,up,0.05,up,4.390000000000001,up,,na,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.04,up,0.05,up,0.05,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,0.25,1.0,1.0,0.05,,NEUTRAL,UPTREND,LOW,OK,,2,2,1.5,1.25,0,0.0,-0.75,1.5,0.0,0.0,0.0,-0.5,unknown,unknown
AAAD,PGIM AAA CLO Aggregate Duration ETF,Financial,Exchange Traded Fund,-,49.56,,0.27,0.04,0.46,-0.87,,-0.75,41.92,,0.86,,,,,,,,,,,,-0.46,-0.78,-0.78,,0.01,,49.51,0.0010098969905070199,flat,0.05000000000000426,up,,na,0.0,down,0.0,down,1.11,up,-0.05999999999999994,down,,na,0.07999999999999996,up,1.740000000000002,up,,na,0.020000000000000018,up,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.12999999999999995,up,0.10999999999999999,up,0.10999999999999999,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,-1.75,-6.9,1.0,0.1,,NEUTRAL,DOWNTREND,LOW,OK,,0,3,0.0,1.75,0,0.0,-0.75,-0.5,0.0,0.0,0.0,-0.5,unknown,unknown
AAAP,Pacer Barings CLO Market Flex ETF,Financial,Exchange Traded Fund,-,25.33,,90.08,0.07,0.16,0.52,,0.82,71.52,,0.0,,,,,,,,,,,,0.13,0.31,0.31,,0.02,,25.31,0.000790201501382759,flat,0.019999999999999574,up,,na,-2.719999999999999,down,-0.01999999999999999,down,0.28,up,0.08000000000000002,up,,na,0.07999999999999996,up,3.3499999999999943,up,,na,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.06,up,0.07,up,0.07,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,-0.25,-1.0,1.0,0.08,,NEUTRAL,UPTREND,LOW,OK,,2,2,1.0,1.25,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.5,unknown,unknown
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,-,42.81,,1522.8,1.13,7.21,5.34,-7.7,0.61,65.48,,0.29,,,,,,,,,,,,6.28,4.22,-3.16,0.18,1.15,,41.89,0.02196228216758178,up,0.9200000000000017,up,,na,7.889999999999873,up,0.3699999999999999,up,3.83,up,1.2400000000000002,up,1.79,up,2.16,up,5.100000000000001,up,,na,-0.010000000000000009,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,1.9900000000000002,up,2.29,up,2.08,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,3.5,13.9,1.0,2.2,,NEUTRAL,MIXED,LOW,OK,,3,1,4.0,0.5,0,3.0,0.0,1.0,0.0,0.0,0.0,-0.5,unknown,defensive
AAC-U,Ares Acquisition Corp III,Financial,Shell Companies,-,10.19,402.5,635.84,0.0,-0.1,1.19,,1.19,66.53,,1.09,,4.59,,,,,,,,,,0.87,0.96,0.96,,0.41,0.0,10.19,0.0,flat,0.0,down,0.0,down,-14.529999999999973,down,-0.46,down,0.0,down,-0.10000000000000009,down,,na,0.0,down,0.0,down,,na,0.030000000000000027,up,,na,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,-0.06000000000000005,down,-0.040000000000000036,down,-0.040000000000000036,down,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,-0.75,-3.0,1.0,0.0,,NEUTRAL,UPTREND,LOW,OK,,1,2,0.5,1.25,0,0.0,-0.75,0.5,0.0,0.0,0.0,-0.5,small,unknown
AACB,Artius II Acquisition Inc,Financial,Shell Companies,-,10.56,293.77,32.4,0.37,0.28,0.48,1.73,2.52,57.61,0.01,0.06,,76.92,0.0,,,,,,,,,0.23,0.48,2.39,0.05,0.37,0.0,10.52,0.0038022813688214363,flat,0.040000000000000924,up,2.6299999999999955,up,-0.6499999999999986,down,0.37,up,0.37,up,0.38,up,0.3799999999999999,up,0.3799999999999999,up,8.280000000000001,up,0.0,down,0.009999999999999995,up,,na,0.0,down,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,0.35,up,0.35,up,0.3700000000000001,up,0,0,0,0,0,0,0,0,,2026-08-07,2026-08-06,11560,0.25,1.0,1.0,0.38,,NEUTRAL,UPTREND,LOW,OK,,2,2,1.5,1.25,0,0.0,-0.75,1.5,0.0,0.0,0.0,-0.5,micro,defensive
