Ticker,Company,Sector,Industry,Index,Price,Market Cap,Average Volume,Relative Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (YTD),Relative Strength Index (14),Short Float,Short Ratio,Institutional Transactions,Institutional Ownership,Insider Transactions,Analyst Recom,Target Price,Forward P/E,Sales Year Over Year TTM,Sales Growth Quarter Over Quarter,EPS Surprise,Profit Margin,Gross Margin,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Beta,Volatility (Month),Total Debt/Equity,price_then,true_ret,true_ret_dir,d_Price,dir_Price,d_Market Cap,dir_Market Cap,d_Average Volume,dir_Average Volume,d_Relative Volume,dir_Relative Volume,d_Performance (Week),dir_Performance (Week),d_Performance (Month),dir_Performance (Month),d_Performance (Quarter),dir_Performance (Quarter),d_Performance (YTD),dir_Performance (YTD),d_Relative Strength Index (14),dir_Relative Strength Index (14),d_Short Float,dir_Short Float,d_Short Ratio,dir_Short Ratio,d_Institutional Transactions,dir_Institutional Transactions,d_Institutional Ownership,dir_Institutional Ownership,d_Insider Transactions,dir_Insider Transactions,d_Analyst Recom,dir_Analyst Recom,d_Target Price,dir_Target Price,d_Forward P/E,dir_Forward P/E,d_Sales Year Over Year TTM,dir_Sales Year Over Year TTM,d_Sales Growth Quarter Over Quarter,dir_Sales Growth Quarter Over Quarter,d_EPS Surprise,dir_EPS Surprise,d_Profit Margin,dir_Profit Margin,d_Gross Margin,dir_Gross Margin,d_20-Day Simple Moving Average,dir_20-Day Simple Moving Average,d_50-Day Simple Moving Average,dir_50-Day Simple Moving Average,d_200-Day Simple Moving Average,dir_200-Day Simple Moving Average,d_Beta,dir_Beta,d_Volatility (Month),dir_Volatility (Month),d_Total Debt/Equity,dir_Total Debt/Equity,cat_nuclear_smr,cat_optics_transceiver,cat_data_center_power,cat_hbm_memory,cat_copper_metals,cat_ai_capex,cat_defense,cat_semiconductor_equip,upside_pct_lvl,scan_date,pair_date,n_universe,total_score,score_100,confidence,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,kill_flags,n_pos,n_neg,w_pos,w_neg,n_catalysts,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,mcap_bucket,beta_bucket
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,S&P 500,149.98,42283.69,2228.57,1.01,-4.89,6.29,8.39,10.22,52.45,1.84,2.32,0.98,95.51,-0.17,1.8,176.17,22.22,8.6,8.06,8.85,19.53,53.72,-1.25,5.6,14.0,1.23,2.65,0.54,151.39,-0.009313693110509225,flat,-1.4099999999999966,down,-473.6800000000003,down,1.7000000000002728,up,-0.3999999999999999,down,-2.51,down,-2.4699999999999998,down,-1.7899999999999991,down,-1.0399999999999991,down,-2.799999999999997,down,0.0,down,0.0,down,0.0,down,0.19000000000001194,up,0.0,down,0.0,down,0.0,down,-0.21000000000000085,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,-1.21,down,-1.2700000000000005,down,-1.0899999999999999,down,0.0,down,0.009999999999999787,up,0.0,down,0,0,0,0,0,0,0,0,17.462328310441393,2026-09-03,2026-09-02,11643,-1.56,-6.2,1.0,-0.93,17.5,NEUTRAL,UPTREND,LOW,OK,,2,3,1.3,2.86,0,-1.85,0.0,0.88,0.0,0.3,0.0,-0.89,large,mid
AA,Alcoa Corp,Basic Materials,Aluminum,-,51.05,13472.58,5651.73,0.45,-0.27,7.05,-34.57,-3.93,52.62,4.17,1.93,0.87,83.67,-1.85,1.94,66.61,8.23,6.14,28.64,-5.93,9.33,14.2,0.37,4.61,-11.37,1.72,4.01,0.3,51.05,0.0,flat,0.0,down,0.0,down,-54.32000000000062,down,-0.11999999999999994,down,-2.94,down,-1.96,down,2.299999999999997,up,0.0,down,0.0,down,0.0,down,0.010000000000000009,up,0.0,down,-0.03999999999999204,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,0.0,down,-0.36,down,0.05000000000000071,up,-0.09999999999999964,down,0.010000000000000009,up,-0.009999999999999787,down,0.0,down,0,0,0,0,0,0,0,0,30.479921645445646,2026-09-03,2026-09-02,11643,-1.49,-5.9,1.0,0.0,30.5,NEUTRAL,MIXED,LOW,OK,,2,3,2.0,3.49,0,-1.85,-0.75,1.0,0.0,1.0,0.0,-0.89,large,high
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,-,25.04,,22.48,0.15,0.41,0.18,0.13,0.16,58.01,,0.35,,,,,,,,,,,,0.33,0.27,0.24,0.03,0.2,,25.1,-0.0023904382470120167,flat,-0.060000000000002274,down,,na,0.4200000000000017,up,-1.28,down,-0.12000000000000005,down,-0.25,down,-0.39,down,-0.24000000000000002,down,-8.07,down,,na,-0.010000000000000009,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,-0.25999999999999995,down,-0.24,down,-0.24,down,0.0,down,0.020000000000000018,up,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-0.76,-3.0,1.0,-0.24,,NEUTRAL,UPTREND,LOW,OK,,1,3,1.0,1.76,0,0.0,-0.75,0.88,0.0,0.0,0.0,-0.89,unknown,defensive
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,-,30.83,,5.93,0.04,0.15,0.09,0.39,12.75,56.33,,0.52,,,,,,,,,,,,0.25,1.36,7.04,0.89,0.28,,30.6,0.007516339869281019,flat,0.22999999999999687,up,,na,0.02999999999999936,up,-0.29000000000000004,down,0.32,up,0.95,up,0.72,up,0.8499999999999996,up,5.949999999999996,up,,na,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.73,up,0.7100000000000001,up,0.7300000000000004,up,0.0,down,-0.02999999999999997,down,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-0.51,-2.0,1.0,0.75,,NEUTRAL,UPTREND,LOW,OK,,2,2,1.12,1.64,0,0.0,-0.75,1.12,0.0,0.0,0.0,-0.89,unknown,mid
AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,-,20.07,,75.28,0.0,-0.3,0.0,0.25,0.05,40.52,,0.0,,,,,,,,,,,,-0.16,-0.04,0.05,,0.0,,20.07,0.0,flat,0.0,down,,na,0.0,down,0.0,down,-0.04999999999999999,down,-0.05,down,0.0,down,0.0,down,0.0,down,,na,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.0,down,0.0,down,0.0,down,,na,0.0,down,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-2.14,-8.5,1.0,0.0,,NEUTRAL,MIXED,LOW,OK,,0,3,0.0,2.14,0,0.0,-0.75,-0.5,0.0,0.0,0.0,-0.89,unknown,unknown
AAAD,PGIM AAA CLO Aggregate Duration ETF,Financial,Exchange Traded Fund,-,49.28,,0.2,0.05,-0.88,-0.72,-1.43,-1.31,38.14,,1.5,,,,,,,,,,,,-0.5,-0.99,-1.09,,0.0,,49.24,0.0008123476848089783,flat,0.03999999999999915,up,,na,-0.009999999999999981,down,-0.12000000000000001,down,0.05999999999999994,up,0.0,down,-0.030000000000000027,down,0.08999999999999986,up,2.0,up,,na,0.020000000000000018,up,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.10999999999999999,up,0.13000000000000012,up,0.09999999999999987,up,,na,0.0,down,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-2.01,-8.0,1.0,0.08,,NEUTRAL,DOWNTREND,LOW,OK,,1,3,0.12,2.14,0,0.0,-0.75,-0.38,0.0,0.0,0.0,-0.89,unknown,unknown
AAAP,Pacer Barings CLO Market Flex ETF,Financial,Exchange Traded Fund,-,25.37,,58.8,0.06,-0.22,0.2,,1.0,56.13,,0.13,,,,,,,,,,,,-0.01,0.28,0.3,,0.1,,25.36,0.00039432176656162277,flat,0.010000000000001563,up,,na,-1.0400000000000063,down,-0.07,down,-0.06,down,-0.08000000000000002,down,,na,0.020000000000000018,up,1.1300000000000026,up,,na,0.010000000000000009,up,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,0.01,up,0.0,down,0.019999999999999962,up,,na,0.0,down,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-0.64,-2.5,1.0,0.04,,NEUTRAL,UPTREND,LOW,OK,,1,2,1.0,1.64,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.89,unknown,unknown
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,-,44.1,,1530.5,0.92,-2.94,5.34,-0.19,3.63,54.93,,0.56,,,,,,,,,,,,0.18,5.72,-1.12,0.17,1.34,,43.29,0.018711018711018657,up,0.8100000000000023,up,,na,6.819999999999936,up,0.040000000000000036,up,1.4499999999999997,up,-2.3100000000000005,down,0.97,up,1.89,up,4.729999999999997,up,,na,-0.009999999999999898,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,1.5799999999999998,up,1.6899999999999995,up,1.7599999999999998,up,0.0,down,0.010000000000000009,up,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-0.86,-3.4,1.0,1.87,,NEUTRAL,MIXED,LOW,OK,,3,2,1.88,2.74,0,-1.1,0.0,1.12,0.0,0.0,0.0,-0.89,unknown,defensive
AAC,Ares Acquisition Corp III,Financial,Shell Companies,-,10.06,496.76,117.83,0.12,-0.89,,,0.6,,,,,,,,,,,,,,,-0.17,-0.17,-0.17,,,,10.07,-0.0009930486593843213,flat,-0.009999999999999787,down,-0.5,down,114.64,up,-180.56,down,,na,,na,,na,-0.09999999999999998,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,,na,-0.07,down,-0.07,down,-0.07,down,,na,,na,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-1.64,-6.5,1.0,-0.1,,NEUTRAL,DOWNTREND,LOW,OK,,0,2,0.0,1.64,0,0.0,-0.75,0.0,0.0,0.0,0.0,-0.89,small,unknown
AAC-U,Ares Acquisition Corp III,Financial,Shell Companies,-,10.16,501.7,438.5,0.0,-0.29,0.25,,0.89,52.34,,0.56,,89.09,,,,,,,,,,-0.04,0.39,0.39,,0.45,,10.21,-0.004897159647404559,flat,-0.05000000000000071,down,-2.4700000000000273,down,-12.319999999999993,down,-0.04,down,-0.49,down,0.010000000000000009,up,,na,-0.4999999999999999,down,-11.089999999999996,down,,na,0.020000000000000018,up,,na,0.0,down,,na,,na,,na,,na,,na,,na,,na,,na,,na,-0.52,down,-0.51,down,-0.51,down,,na,0.030000000000000027,up,,na,0,0,0,0,0,0,0,0,,2026-09-03,2026-09-02,11643,-0.76,-3.0,1.0,-0.49,,NEUTRAL,UPTREND,LOW,OK,,1,3,1.0,1.76,0,0.0,-0.75,0.88,0.0,0.0,0.0,-0.89,small,unknown
