Ticker,Company,Sector,Industry,Index,Price,Market Cap,Average Volume,Relative Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (YTD),Relative Strength Index (14),Short Float,Short Ratio,Institutional Transactions,Institutional Ownership,Insider Transactions,Analyst Recom,Target Price,Forward P/E,Sales Year Over Year TTM,Sales Growth Quarter Over Quarter,EPS Surprise,Profit Margin,Gross Margin,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,Beta,Volatility (Month),Total Debt/Equity,price_then,true_ret,true_ret_dir,cat_nuclear_smr,cat_optics_transceiver,cat_data_center_power,cat_hbm_memory,cat_copper_metals,cat_ai_capex,cat_defense,cat_semiconductor_equip,upside_pct_lvl,scan_date,pair_date,n_universe,total_score,score_100,confidence,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,kill_flags,n_pos,n_neg,w_pos,w_neg,n_catalysts,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,mcap_bucket,beta_bucket
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,S&P 500,146.85,41401.25,2213.36,0.72,-4.37,0.6,10.67,7.92,46.5,1.84,2.34,1.15,95.52,-0.17,1.8,176.17,21.75,8.6,8.06,8.85,19.53,53.72,-3.4,3.02,11.58,1.23,2.8,0.54,,,na,0,0,0,0,0,0,0,0,19.965951651344906,2026-09-08,,11608,0.44,1.7,1.0,,20.0,NEUTRAL,UPTREND,LOW,OK,,2,1,1.3,0.86,0,0.0,0.0,1.0,0.0,0.3,0.0,-0.86,large,mid
AA,Alcoa Corp,Basic Materials,Aluminum,-,51.74,13654.67,5595.01,0.63,3.58,3.13,-29.55,-2.63,54.46,4.17,1.95,0.93,83.68,-1.85,1.94,66.61,8.34,6.14,28.64,-5.93,9.33,14.2,1.74,6.26,-10.4,1.72,4.01,0.3,,,na,0,0,0,0,0,0,0,0,28.739853111712403,2026-09-08,,11608,0.44,1.7,1.0,,28.7,NEUTRAL,MIXED,LOW,OK,,2,1,1.3,0.86,0,0.0,0.0,1.0,0.0,0.3,0.0,-0.86,large,high
AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,-,25.01,,22.29,0.73,0.44,0.14,0.18,0.04,53.91,,0.35,,,,,,,,,,,,0.2,0.15,0.12,0.03,0.2,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,0.14,0.5,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,1,1.0,0.86,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.86,unknown,defensive
AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,-,30.77,,5.7,2.47,0.35,-0.42,2.43,12.53,54.2,,0.54,,,,,,,,,,,,0.08,1.07,6.68,0.89,0.26,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,1.64,6.5,1.0,,,NEUTRAL,UPTREND,LOW,OK,,2,1,2.5,0.86,0,0.0,1.5,1.0,0.0,0.0,0.0,-0.86,unknown,mid
AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,-,20.08,,75.28,0.0,-0.27,0.02,0.27,0.12,46.95,,0.0,,,,,,,,,,,,-0.08,0.03,0.13,,0.0,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,-0.61,-2.4,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,1.0,1.61,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.86,unknown,unknown
AAAD,PGIM AAA CLO Aggregate Duration ETF,Financial,Exchange Traded Fund,-,49.31,,0.2,0.05,0.03,-0.51,-0.95,-1.26,39.68,,1.5,,,,,,,,,,,,-0.41,-0.85,-1.01,,0.0,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,-2.11,-8.4,1.0,,,NEUTRAL,DOWNTREND,LOW,OK,,0,3,0.0,2.11,0,0.0,-0.75,-0.5,0.0,0.0,0.0,-0.86,unknown,unknown
AAAP,Pacer Barings CLO Market Flex ETF,Financial,Exchange Traded Fund,-,25.39,,56.72,0.13,0.18,0.24,,1.05,59.49,,0.13,,,,,,,,,,,,0.02,0.3,0.34,,0.11,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,-0.61,-2.4,1.0,,,NEUTRAL,UPTREND,LOW,OK,,1,2,1.0,1.61,0,0.0,-0.75,1.0,0.0,0.0,0.0,-0.86,unknown,unknown
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,-,42.97,,1544.14,1.13,-2.07,0.37,0.73,0.99,47.75,,0.56,,,,,,,,,,,,-2.44,2.68,-3.71,0.17,1.29,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,0.14,0.5,1.0,,,NEUTRAL,MIXED,LOW,OK,,1,1,1.0,0.86,0,0.0,0.0,1.0,0.0,0.0,0.0,-0.86,unknown,defensive
AAC,Ares Acquisition Corp III,Financial,Shell Companies,-,10.06,496.76,86.49,0.0,0.0,,,0.6,,,,,,,,,,,,,,,-0.12,-0.12,-0.12,,,,,,na,0,0,0,0,0,0,0,0,,2026-09-08,,11608,-1.61,-6.4,1.0,,,NEUTRAL,DOWNTREND,LOW,OK,,0,2,0.0,1.61,0,0.0,-0.75,0.0,0.0,0.0,0.0,-0.86,small,unknown
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,-,0.95,40.88,224.0,0.07,2.15,10.44,-9.95,20.21,51.34,1.54,0.61,-0.15,0.35,,1.0,6.5,,0.28,-10.45,,-17.93,48.7,-0.24,0.13,-5.35,1.09,8.91,1.43,,,na,0,0,0,0,0,0,0,0,584.2105263157895,2026-09-08,,11608,0.39,1.5,1.0,,584.2,NEUTRAL,MIXED,LOW,OK,,2,2,2.0,1.61,0,0.0,-0.75,1.0,0.0,1.0,0.0,-0.86,micro,mid
