Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
JFB,JFB Construction Holdings,Real Estate,Real Estate - Development,4.6,micro,high,5.5,95.7,NEUTRAL,MIXED,ELEVATED,OK,2.48,1.5,1.24,0.0,1.0,0.0,0.81,7,0,7.03,0.0,7.03,27.9,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
METC,Ramaco Resources Inc,Basic Materials,Coking Coal,12.25,small,mid,16.33,62.4,NEUTRAL,MIXED,HIGH_SHORT,OK,2.48,1.5,1.24,0.0,1.0,0.0,0.81,7,0,7.03,0.0,7.03,27.9,0.8,SQUEEZE_SETUP|UNCONFIRMED_RALLY,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
OXBR,Oxbridge Re Holdings Ltd,Financial,Insurance - Reinsurance,1.53,micro,high,17.69,96.1,NEUTRAL,UPTREND,LOW,OK,2.48,1.5,1.24,0.0,1.0,0.0,0.81,7,0,7.03,0.0,7.03,27.9,0.8,UNCONFIRMED_RALLY,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +1.5; Relative Strength Index (14) +1.0,,2
BW,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,10.29,small,mid,10.05,120.3,NEUTRAL,DOWNTREND,ELEVATED,OK,2.48,0.75,1.24,0.0,1.0,0.0,0.81,7,0,6.28,0.0,6.28,24.9,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
SGML,Sigma Lithium Corp,Basic Materials,Other Industrial Metals & Mining,11.99,small,defensive,5.83,81.3,NEUTRAL,MIXED,LOW,OK,2.48,0.75,1.24,0.0,1.0,0.0,0.81,7,0,6.28,0.0,6.28,24.9,0.8,UNCONFIRMED_RALLY,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
MP,MP Materials Corp,Basic Materials,Other Industrial Metals & Mining,58.74,large,high,5.53,30.3,NEUTRAL,UPTREND,ELEVATED,OK,2.48,0.75,0.74,0.0,1.0,0.0,0.81,7,0,5.78,0.0,5.78,23.0,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +0.8; Relative Strength Index (14) +0.5,,1
LUMN,Lumen Technologies Inc,Communication Services,Telecom Services,6.72,mid,high,5.0,8.5,NEUTRAL,DOWNTREND,LOW,OK,2.48,0.75,1.24,0.0,0.3,0.0,0.81,7,0,5.58,0.0,5.58,22.2,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,150.28,large,high,15.53,13.5,NEUTRAL,UPTREND,ELEVATED,OK,2.48,0.75,1.24,0.0,0.3,0.0,0.81,7,0,5.58,0.0,5.58,22.2,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
USAR,USA Rare Earth Inc,Basic Materials,Other Industrial Metals & Mining,20.0,mid,high,7.47,87.5,NEUTRAL,UPTREND,ELEVATED,OK,2.48,0.0,1.24,0.0,1.0,0.0,0.81,6,0,5.53,0.0,5.53,22.0,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.2,,1
ARBE,Arbe Robotics Ltd,Technology,Scientific & Technical Instruments,0.8,micro,mid,3.9,116.2,NEUTRAL,MIXED,LOW,OK,2.48,0.0,1.24,0.0,1.0,0.0,0.81,6,0,5.53,0.0,5.53,22.0,1.0,,Price +0.9; Performance (Month)Δ +1.6; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.2,,1
