Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
TRIB,Trinity Biotech Plc ADR,Healthcare,Medical Devices,12.43,micro,mid,11.28,3520.3,NEUTRAL,DOWNTREND,LOW,OK,2.5,1.5,1.15,0.0,1.0,0.0,0.95,7,0,7.1,0.0,7.1,28.2,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +1.0,,2
DUOT,Duos Technologies Group Inc,Technology,Software - Application,11.59,small,mid,12.74,111.4,NEUTRAL,UPTREND,ELEVATED,OK,2.5,1.5,0.65,0.0,1.0,0.0,0.95,7,0,6.6,0.0,6.6,26.2,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +0.5,,1
UGI,UGI Corp,Utilities,Utilities - Regulated Gas,38.39,mid,mid,9.4,7.7,NEUTRAL,UPTREND,LOW,OK,2.5,1.5,0.65,0.0,0.3,0.0,0.95,7,0,5.9,0.0,5.9,23.4,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +0.5,,1
EMAT,Evolution Metals & Technologies Corp,Basic Materials,Other Industrial Metals & Mining,3.12,small,defensive,11.83,573.1,WASHED,DOWNTREND,LOW,OK,2.5,1.5,-0.35,0.0,1.0,0.0,0.95,6,1,6.1,0.5,5.6,22.2,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14)Δ +0.2,Relative Strength Index (14) -0.5,1
JAGU,Jaguar Uranium Corp,Energy,Uranium,1.6,micro,unknown,5.26,100.0,NEUTRAL,DOWNTREND,LOW,OK,2.5,1.5,-0.35,0.0,1.0,0.0,0.95,6,1,6.1,0.5,5.6,22.2,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14)Δ +0.2,Relative Strength Index (14) -0.5,2
PROF,Profound Medical Corp,Healthcare,Medical Devices,7.0,micro,defensive,6.87,59.1,NEUTRAL,MIXED,LOW,OK,2.5,1.5,1.15,0.0,1.0,0.0,-0.95,6,1,6.15,0.95,5.2,20.7,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.9,0
POCI,Precision Optics Corp Inc,Healthcare,Medical Instruments & Supplies,4.34,micro,defensive,3.83,84.3,NEUTRAL,DOWNTREND,LOW,OK,2.5,1.5,1.15,0.0,1.0,0.0,-0.95,6,1,6.15,0.95,5.2,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.9,0
YALA,Yalla Group Limited ADR,Technology,Software - Application,5.56,small,defensive,4.12,41.7,NEUTRAL,MIXED,LOW,OK,2.5,1.5,1.15,0.0,1.0,0.0,-0.95,6,1,6.15,0.95,5.2,20.7,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.9,0
OBX,Obsidian Therapeutics Inc,Healthcare,Biotechnology,19.95,small,high,13.8,113.0,NEUTRAL,UPTREND,LOW,OK,2.5,1.5,1.15,0.0,1.0,0.0,-0.95,6,1,6.15,0.95,5.2,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.9,0
TECX,Tectonic Therapeutic Inc,Healthcare,Biotechnology,36.61,small,mid,8.15,111.9,NEUTRAL,UPTREND,ELEVATED,OK,2.5,1.5,1.15,0.0,1.0,0.0,-0.95,6,1,6.15,0.95,5.2,20.7,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.7; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.9,0
