Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
EXYN,Exyn Technologies Inc,Technology,Software - Infrastructure,3.22,micro,unknown,40.0,210.6,NEUTRAL,DOWNTREND,LOW,OK,2.57,1.5,1.12,0.0,1.0,0.0,0.95,7,0,7.15,0.0,7.15,28.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
GRML,Greenland Mines Ltd,Basic Materials,Other Precious Metals & Mining,9.71,micro,high,13.57,1187.3,NEUTRAL,DOWNTREND,LOW,OK,2.57,1.5,1.12,0.0,1.0,0.0,0.95,7,0,7.15,0.0,7.15,28.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
CRML,Critical Metals Corp,Basic Materials,Other Industrial Metals & Mining,8.1,small,high,21.44,89.3,NEUTRAL,MIXED,HIGH_SHORT,OK,2.57,1.5,1.12,0.0,1.0,0.0,0.95,7,0,7.15,0.0,7.15,28.4,1.0,SQUEEZE_SETUP,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
JAGU,Jaguar Uranium Corp,Energy,Uranium,1.67,micro,unknown,6.37,91.6,NEUTRAL,DOWNTREND,LOW,OK,2.57,0.75,1.12,0.0,1.0,0.0,0.95,7,0,6.4,0.0,6.4,25.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +0.8; Relative Strength Index (14) +1.0,,2
EU,enCore Energy Corp,Energy,Uranium,1.38,micro,high,11.29,142.0,NEUTRAL,MIXED,LOW,OK,2.57,0.75,1.12,0.0,1.0,0.0,0.95,7,0,6.4,0.0,6.4,25.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
SLI,Standard Lithium Ltd,Basic Materials,Other Industrial Metals & Mining,2.57,small,high,5.76,123.3,NEUTRAL,MIXED,LOW,OK,2.57,0.75,1.12,0.0,1.0,0.0,0.95,7,0,6.4,0.0,6.4,25.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
SMR,NuScale Power Corp,Industrials,Specialty Industrial Machinery,9.81,mid,high,8.4,28.3,NEUTRAL,MIXED,ELEVATED,OK,2.57,0.75,1.12,0.0,0.3,0.0,0.95,7,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
APLD,Applied Digital Corp,Technology,Information Technology Services,28.85,mid,high,7.29,156.4,NEUTRAL,DOWNTREND,HIGH_SHORT,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
URG,Ur-Energy Inc,Energy,Uranium,1.48,small,mid,3.5,47.3,NEUTRAL,MIXED,ELEVATED,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
AREC,American Resources Corp,Industrials,Waste Management,2.72,micro,mid,8.37,120.6,NEUTRAL,UPTREND,ELEVATED,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,2
KEP,Korea Electric Power Corp ADR,Utilities,Utilities - Regulated Electric,11.8,large,mid,4.33,33.6,NEUTRAL,DOWNTREND,LOW,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
OKLO,Oklo Inc,Utilities,Utilities - Independent Power Producers,44.27,mid,mid,11.54,72.8,NEUTRAL,DOWNTREND,ELEVATED,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
HVII,Hennessy Capital Investment Corp VII,Financial,Shell Companies,7.84,micro,defensive,12.48,116.8,WASHED,DOWNTREND,LOW,OK,2.57,1.5,-0.38,0.0,1.0,0.0,0.95,6,1,6.15,0.5,5.65,22.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Volume +1.5; Relative Strength Index (14)Δ +0.1,Relative Strength Index (14) -0.5,1
EMPD,Empery Digital Inc,Consumer Cyclical,Auto Manufacturers,2.93,micro,defensive,2.81,104.8,NEUTRAL,DOWNTREND,ELEVATED,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
ENS,Enersys,Industrials,Electrical Equipment & Parts,194.29,mid,mid,3.63,35.9,NEUTRAL,MIXED,LOW,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,3
KEEL,Keel Infrastructure Corp,Technology,Information Technology Services,3.51,mid,high,8.0,80.3,NEUTRAL,MIXED,ELEVATED,OK,2.57,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.65,0.0,5.65,22.4,1.0,,Price +0.8; Performance (Month)Δ +1.8; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
