Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
BIRD,Smartbird Inc,Technology,Software - Infrastructure,2.77,micro,high,16.39,188.8,NEUTRAL,MIXED,ELEVATED,OK,2.63,1.5,1.12,0.0,1.0,0.0,0.95,7,0,7.2,0.0,7.2,28.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
SLMT,Solmate Infrastructure Public Ltd,Technology,Software - Infrastructure,4.55,micro,high,14.61,2427.5,NEUTRAL,DOWNTREND,LOW,OK,2.63,1.5,1.12,0.0,1.0,0.0,0.95,7,0,7.2,0.0,7.2,28.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
TH,Target Hospitality Corp,Industrials,Specialty Business Services,18.96,small,mid,12.99,33.6,NEUTRAL,UPTREND,LOW,OK,2.63,0.75,1.12,0.0,1.0,0.0,0.95,7,0,6.45,0.0,6.45,25.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,Financial,Exchange Traded Fund,20.92,unknown,high,16.74,,NEUTRAL,UPTREND,LOW,OK,2.63,1.5,1.12,0.0,0.0,0.0,0.95,6,0,6.2,0.0,6.2,24.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
NNE,Nano Nuclear Energy Inc,Industrials,Specialty Industrial Machinery,19.24,small,high,4.0,110.9,NEUTRAL,MIXED,HIGH_SHORT,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
USGO,U.S. GoldMining Inc,Basic Materials,Other Industrial Metals & Mining,9.7,micro,high,2.32,283.2,NEUTRAL,MIXED,ELEVATED,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
AESI,Atlas Energy Solutions Inc,Energy,Oil & Gas Equipment & Services,13.0,small,mid,7.71,36.5,NEUTRAL,MIXED,HIGH_SHORT,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
WRAP,Wrap Technologies Inc,Technology,Scientific & Technical Instruments,1.72,micro,mid,11.69,45.3,NEUTRAL,MIXED,ELEVATED,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
LAR,Lithium Argentina AG,Basic Materials,Other Industrial Metals & Mining,6.91,small,high,2.98,75.1,NEUTRAL,DOWNTREND,LOW,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
CLSK,Cleanspark Inc,Financial,Capital Markets,12.95,mid,high,6.32,82.9,NEUTRAL,MIXED,HIGH_SHORT,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
TE,T1 Energy Inc,Industrials,Electrical Equipment & Parts,4.96,small,high,9.98,98.8,NEUTRAL,DOWNTREND,HIGH_SHORT,OK,2.63,0.0,1.12,0.0,1.0,0.0,0.95,6,0,5.7,0.0,5.7,22.6,1.0,,Price +0.8; Performance (Month)Δ +1.9; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
