Industry,n,med_total,pct_positive,med_ret,n_squeeze,n_extreme
Oil & Gas Drilling,10,4.27,80.0,5.93,0,0
Healthcare Plans,11,3.83,72.7,1.65,0,0
Oil & Gas Integrated,20,3.78,95.0,4.64,0,0
Oil & Gas E&P,77,2.74,76.6,3.38,1,0
Oil & Gas Midstream,58,2.73,75.9,1.83,0,0
Utilities - Regulated Water,13,2.64,76.9,-0.16,0,0
Marine Shipping,38,2.56,68.4,3.28,0,0
Farm Products,20,2.42,60.0,0.47,0,0
Agricultural Inputs,13,2.0,61.5,7.76,0,0
REIT - Healthcare Facilities,17,1.75,76.5,0.27,0,0
Oil & Gas Refining & Marketing,19,1.67,63.2,2.78,0,0
Oil & Gas Equipment & Services,50,1.32,66.0,2.76,0,0
Steel,21,1.27,76.2,3.26,0,0
Uranium,13,1.02,76.9,-2.59,0,0
Insurance - Reinsurance,8,0.76,62.5,0.5,0,0
Drug Manufacturers - General,21,0.74,71.4,1.82,0,0
Chemicals,17,0.67,58.8,2.53,0,0
Medical Distribution,12,0.52,50.0,0.48,0,0
Banks - Regional,324,0.52,57.1,0.29,0,0
Shell Companies,335,0.47,61.5,0.09,0,0
Broadcasting,14,0.38,50.0,1.6,0,0
Utilities - Regulated Electric,42,0.32,52.4,0.1,0,0
Beverages - Wineries & Distilleries,11,0.27,63.6,-0.45,0,0
Discount Stores,9,0.22,66.7,2.0,0,0
Other Precious Metals & Mining,19,0.17,52.6,-0.2,0,0
Biotechnology,599,0.11,52.1,0.46,3,1
Insurance - Property & Casualty,44,0.0,50.0,-0.16,0,0
Banks - Diversified,20,-0.01,50.0,0.56,0,0
Health Information Services,42,-0.18,50.0,-0.48,0,0
Specialty Chemicals,60,-0.28,46.7,-0.73,0,0
Utilities - Independent Power Producers,9,-0.28,33.3,-0.03,0,0
Tobacco,11,-0.31,36.4,0.55,0,0
Drug Manufacturers - Specialty & Generic,85,-0.31,47.1,0.52,0,0
Medical Care Facilities,48,-0.34,45.8,-0.46,0,0
Utilities - Regulated Gas,16,-0.38,50.0,0.04,0,0
Beverages - Non-Alcoholic,19,-0.38,42.1,-1.63,0,0
Other Industrial Metals & Mining,55,-0.38,41.8,-0.78,0,0
Waste Management,21,-0.48,47.6,0.18,0,0
Tools & Accessories,10,-0.48,40.0,-1.15,0,0
Entertainment,48,-0.48,47.9,-0.87,0,0
Copper,8,-0.5,37.5,-5.02,0,0
Gold,53,-0.63,41.5,-1.98,0,0
REIT - Retail,26,-0.66,38.5,-0.89,0,0
Packaged Foods,60,-0.78,40.0,-1.12,0,0
Telecom Services,57,-0.79,28.1,0.1,0,0
Electronics & Computer Distribution,8,-0.8,25.0,0.84,0,0
Insurance - Life,18,-0.81,44.4,0.28,0,0
Diagnostics & Research,46,-0.84,45.7,-0.49,0,0
Auto Manufacturers,29,-0.86,41.4,-1.74,0,0
Capital Markets,99,-0.91,36.4,-1.58,0,1
Medical Instruments & Supplies,53,-0.91,35.8,0.0,0,0
Financial Data & Stock Exchanges,15,-0.93,33.3,-2.81,0,0
Farm & Heavy Construction Machinery,26,-0.98,38.5,-0.34,0,0
Closed-End Fund - Foreign,29,-1.01,13.8,-0.67,0,0
Mortgage Finance,13,-1.1,30.8,-2.68,0,0
Gambling,14,-1.12,35.7,-2.01,0,0
REIT - Residential,20,-1.14,35.0,-0.86,0,0
Auto & Truck Dealerships,26,-1.14,38.5,-0.89,0,0
Consulting Services,22,-1.19,27.3,-2.2,0,0
Asset Management,146,-1.23,28.1,-1.03,0,0
Auto Parts,55,-1.3,32.7,-0.23,0,0
Real Estate - Development,13,-1.35,23.1,-0.95,0,0
Restaurants,52,-1.4,40.4,-1.24,0,0
Computer Hardware,43,-1.42,34.9,-1.2,0,0
Closed-End Fund - Equity,110,-1.43,23.6,-0.76,0,0
Exchange Traded Fund,5678,-1.43,20.6,-0.55,0,0
Security & Protection Services,24,-1.46,29.2,-2.67,0,0
Credit Services,51,-1.48,25.5,-0.09,0,0
Education & Training Services,43,-1.52,34.9,-2.0,0,0
Specialty Retail,45,-1.53,26.7,-1.34,0,0
Insurance - Diversified,12,-1.56,25.0,-0.72,0,0
Software - Infrastructure,176,-1.58,33.0,-2.8,0,0
Packaging & Containers,22,-1.58,36.4,-1.9,0,0
REIT - Mortgage,39,-1.63,35.9,-0.6,0,0
Real Estate Services,46,-1.64,32.6,-1.76,0,0
Specialty Business Services,43,-1.65,18.6,-1.87,0,0
REIT - Diversified,17,-1.73,35.3,-1.01,0,0
Medical Devices,141,-1.74,29.1,-1.0,0,0
Information Technology Services,75,-1.76,30.7,-2.46,0,0
REIT - Industrial,15,-1.81,33.3,-1.37,0,0
Industrial Distribution,23,-1.85,34.8,-1.49,0,0
Household & Personal Products,31,-1.88,32.3,-0.51,0,0
Software - Application,228,-1.93,24.1,-3.0,0,0
Pollution & Treatment Controls,16,-1.93,43.8,-2.42,0,0
Specialty Industrial Machinery,79,-1.93,27.8,-2.32,0,0
Consumer Electronics,19,-1.98,31.6,0.0,0,1
Food Distribution,12,-2.03,41.7,-0.8,0,0
REIT - Office,20,-2.08,30.0,-2.24,0,0
Engineering & Construction,52,-2.15,23.1,-1.82,0,0
Airports & Air Services,8,-2.2,12.5,-0.64,0,0
Personal Services,13,-2.25,23.1,-1.84,0,0
Electronic Gaming & Multimedia,20,-2.26,30.0,-3.42,0,0
Metal Fabrication,18,-2.26,16.7,-1.4,0,0
Utilities - Renewable,22,-2.28,27.3,-0.61,0,0
Integrated Freight & Logistics,33,-2.28,15.2,-3.18,0,0
Closed-End Fund - Debt,195,-2.28,11.3,-0.78,0,0
REIT - Specialty,19,-2.28,36.8,-1.0,0,0
Luxury Goods,11,-2.35,18.2,-1.3,0,0
Rental & Leasing Services,21,-2.35,19.0,-1.74,0,0
Insurance Brokers,22,-2.38,22.7,-1.56,0,0
Internet Retail,40,-2.54,27.5,-2.8,0,0
Electrical Equipment & Parts,54,-2.58,24.1,-2.1,1,0
Insurance - Specialty,16,-2.6,18.8,-0.6,0,0
Conglomerates,27,-2.61,22.2,-2.16,0,0
Scientific & Technical Instruments,33,-2.63,21.2,-0.86,0,0
Staffing & Employment Services,17,-2.68,17.6,-3.7,0,0
Internet Content & Information,70,-2.68,8.6,-2.49,0,0
"Furnishings, Fixtures & Appliances",30,-2.7,30.0,-1.64,0,1
Advertising Agencies,39,-2.73,17.9,-1.56,0,0
Electronic Components,45,-2.73,11.1,-2.56,0,0
Apparel Retail,33,-2.81,21.2,-2.0,0,0
Apparel Manufacturing,23,-2.86,26.1,-2.72,0,0
Communication Equipment,45,-2.91,24.4,-1.99,0,0
Semiconductors,70,-2.91,20.0,-1.27,0,0
Publishing,8,-2.96,12.5,-1.82,0,0
Semiconductor Equipment & Materials,29,-2.98,3.4,-2.87,0,0
Aerospace & Defense,92,-3.07,23.9,-3.79,0,0
Resorts & Casinos,17,-3.09,23.5,-2.63,0,0
Building Materials,17,-3.18,17.6,-3.33,0,0
REIT - Hotel & Motel,15,-3.18,13.3,-3.32,0,0
Grocery Stores,14,-3.24,28.6,-1.23,0,0
Travel Services,18,-3.27,11.1,-3.32,0,0
Leisure,32,-3.5,15.6,-3.2,0,0
Airlines,18,-3.56,0.0,-2.5,0,0
Residential Construction,19,-3.56,10.5,-3.77,0,0
Lodging,11,-3.61,18.2,-2.26,0,0
Railroads,12,-3.68,8.3,-4.61,0,1
Trucking,16,-3.8,6.2,-2.54,0,0
Building Products & Equipment,36,-3.83,11.1,-2.8,0,0
Solar,23,-3.88,4.3,-3.77,0,0
Footwear & Accessories,13,-3.93,23.1,-4.56,0,0
Recreational Vehicles,15,-4.06,20.0,-1.1,0,0
