Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
ALNT,Allient Inc,Technology,Electronic Components,98.66,small,high,4.76,19.6,NEUTRAL,UPTREND,LOW,OK,2.25,1.5,1.12,0.0,0.3,0.0,0.84,7,0,6.01,0.0,6.01,23.9,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,,1
TFPM,Triple Flag Precious Metals Corp,Basic Materials,Other Precious Metals & Mining,33.78,mid,defensive,2.49,24.0,NEUTRAL,UPTREND,LOW,OK,2.25,0.75,1.12,0.0,0.3,0.0,0.84,7,0,5.26,0.0,5.26,20.9,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
HPE,Hewlett Packard Enterprise Co,Technology,Communication Equipment,62.09,large,mid,12.44,10.6,NEUTRAL,UPTREND,LOW,OK,2.25,0.75,1.12,0.0,0.3,0.0,0.84,7,0,5.26,0.0,5.26,20.9,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
ATCX,Atlas Critical Minerals Corp,Basic Materials,Other Precious Metals & Mining,3.31,micro,high,4.42,315.4,NEUTRAL,MIXED,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
KEP,Korea Electric Power Corp ADR,Utilities,Utilities - Regulated Electric,12.21,large,mid,2.69,35.3,NEUTRAL,MIXED,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,2
MASS,908 Devices Inc,Healthcare,Medical Devices,9.52,small,defensive,1.82,37.8,NEUTRAL,UPTREND,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
HUT,Hut 8 Corp,Financial,Capital Markets,98.6,large,high,8.83,64.5,NEUTRAL,UPTREND,ELEVATED,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,162.38,large,mid,4.65,30.8,NEUTRAL,UPTREND,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
ATHR,Aether Holdings Inc,Technology,Software - Application,3.46,micro,high,9.49,131.2,NEUTRAL,DOWNTREND,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,2
OXBR,Oxbridge Re Holdings Ltd,Financial,Insurance - Reinsurance,1.57,micro,high,12.95,91.1,NEUTRAL,UPTREND,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
MCHP,Microchip Technology Inc,Technology,Semiconductors,74.2,large,high,3.66,48.6,NEUTRAL,DOWNTREND,LOW,OK,2.25,0.0,1.12,0.0,1.0,0.0,0.84,6,0,5.21,0.0,5.21,20.7,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Strength Index (14) +1.0; Relative Strength Index (14)Δ +0.1,,1
BNR,Burning Rock Biotech Ltd ADR,Healthcare,Diagnostics & Research,12.28,micro,mid,5.68,494.9,NEUTRAL,MIXED,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
XRTX,XORTX Therapeutics Inc,Healthcare,Biotechnology,2.33,micro,defensive,10.43,2904.3,NEUTRAL,MIXED,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
HDB,HDFC Bank Ltd ADR,Financial,Banks - Regional,23.34,large,defensive,6.87,34.7,NEUTRAL,DOWNTREND,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
YB,Yuanbao Inc ADR,Technology,Software - Application,13.91,small,defensive,1.98,54.1,NEUTRAL,MIXED,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
CCG,Cheche Group Inc,Communication Services,Internet Content & Information,15.96,micro,defensive,20.91,250.9,NEUTRAL,MIXED,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
YI,111 Inc ADR,Healthcare,Medical Distribution,3.59,micro,defensive,4.06,234.5,NEUTRAL,DOWNTREND,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
GNLN,Greenlane Holdings Inc,Consumer Defensive,Tobacco,2.98,micro,high,15.5,31.5,NEUTRAL,MIXED,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
DXR,Daxor Corp,Healthcare,Medical Instruments & Supplies,11.47,micro,defensive,5.81,74.4,NEUTRAL,UPTREND,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
AIRT,Air T Inc,Industrials,Conglomerates,30.69,micro,defensive,5.1,46.6,NEUTRAL,UPTREND,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,0.8,UNCONFIRMED_RALLY,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
HMR,Heidmar Maritime Holdings Corp,Industrials,Marine Shipping,1.43,micro,defensive,15.32,83.2,NEUTRAL,UPTREND,LOW,OK,2.25,1.5,1.12,0.0,1.0,0.0,-0.84,6,1,5.87,0.84,5.03,20.0,1.0,,Price +0.8; Performance (Month)Δ +1.5; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
