Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
LTC,LTC Properties Inc,Real Estate,REIT - Healthcare Facilities,42.64,mid,defensive,5.21,6.1,NEUTRAL,UPTREND,LOW,OK,2.18,0.0,3.25,2.95,3.94,5.41,0.0,14,0,17.73,0.0,17.73,70.3,1.0,,Price +0.8; Performance (Month)Δ +1.4; Relative Strength Index (14) +1.0; 50-Day Simple Moving Average +1.0,,0
VNCE,Vince Holding Corp,Consumer Cyclical,Apparel Manufacturing,7.65,micro,high,20.66,30.7,NEUTRAL,UPTREND,LOW,OK,2.18,0.47,2.75,2.05,2.81,5.16,0.0,12,2,15.91,0.5,15.41,61.2,1.0,,Price +0.8; Performance (Month)Δ +1.4; Average VolumeΔ +0.5; Relative Strength Index (14) +1.0,Volatility (Month) -0.2; Total Debt/Equity -0.2,0
WDAY,Workday Inc,Technology,Software - Application,194.21,large,mid,1.81,8.7,NEUTRAL,UPTREND,LOW,OK,-1.43,0.0,2.75,5.14,2.11,6.47,0.0,12,3,17.63,2.58,15.05,59.7,1.0,,Relative Strength Index (14) +1.0; 50-Day Simple Moving Average +1.0; 200-Day Simple Moving Average +1.0; Short FloatΔ +2.1,Performance (Month)Δ -1.4; Volatility (Month) -0.2; Insider Transactions -0.9,0
KNOP,KNOT Offshore Partners LP,Energy,Oil & Gas Midstream,11.28,small,defensive,5.82,28.5,NEUTRAL,UPTREND,LOW,OK,2.18,-0.47,3.0,2.95,2.13,5.16,0.0,12,2,15.66,0.72,14.95,59.3,1.0,,Price +0.8; Performance (Month)Δ +1.4; Relative Strength Index (14) +1.0; 50-Day Simple Moving Average +1.0,Average VolumeΔ -0.5; Total Debt/Equity -0.2,0
CLOV,Clover Health Investments Corp,Healthcare,Healthcare Plans,5.1,mid,high,20.0,5.5,NEUTRAL,UPTREND,LOW,OK,2.18,-0.47,2.5,1.14,3.94,5.41,0.0,12,2,16.07,1.37,14.7,58.3,1.0,,Price +0.8; Performance (Month)Δ +1.4; Relative Strength Index (14) +0.5; 50-Day Simple Moving Average +1.0,Average VolumeΔ -0.5; Insider Transactions -0.9,0
SBET,Sharplink Inc,Financial,Capital Markets,9.15,small,high,9.98,84.3,NEUTRAL,UPTREND,ELEVATED,OK,2.18,0.0,2.25,3.7,2.81,3.39,0.0,11,3,16.04,1.71,14.33,56.9,1.0,,Price +0.8; Performance (Month)Δ +1.4; Relative Strength Index (14) +0.5; 50-Day Simple Moving Average +1.0,Volatility (Month) -0.2; Short Float -0.4; EPS Surprise -1.0,0
DE,Deere & Co,Industrials,Farm & Heavy Construction Machinery,681.46,large,mid,7.39,2.2,NEUTRAL,UPTREND,LOW,OK,2.18,0.0,3.0,2.05,1.81,4.91,0.0,10,1,14.45,0.5,13.95,55.3,1.0,,Price +0.8; Performance (Month)Δ +1.4; Relative Strength Index (14) +1.0; 50-Day Simple Moving Average +1.0,Total Debt/Equity -0.5,0
IMRN,Immuron Limited ADR,Healthcare,Biotechnology,1.4,micro,mid,22.81,185.7,NEUTRAL,UPTREND,LOW,OK,2.18,0.47,2.75,2.05,1.0,5.47,0.0,11,1,14.16,0.25,13.91,55.2,1.0,,Price +0.8; Performance (Month)Δ +1.4; Average VolumeΔ +0.5; Relative Strength Index (14) +1.0,Volatility (Month) -0.2,0
TH,Target Hospitality Corp,Industrials,Specialty Business Services,18.55,small,mid,10.55,41.9,NEUTRAL,UPTREND,LOW,OK,0.75,0.0,2.75,2.05,2.81,5.41,0.0,10,1,14.02,0.25,13.77,54.6,1.0,,Price +0.8; Relative Strength Index (14) +1.0; 50-Day Simple Moving Average +1.0; 200-Day Simple Moving Average +1.0,Volatility (Month) -0.2,0
STNG,Scorpio Tankers Inc,Energy,Oil & Gas Midstream,85.46,mid,defensive,14.18,14.0,NEUTRAL,UPTREND,LOW,OK,2.18,0.0,2.5,4.15,0.3,4.4,0.0,10,0,13.52,0.0,13.52,53.7,1.0,,Price +0.8; Performance (Month)Δ +1.4; Relative Strength Index (14) +0.5; 50-Day Simple Moving Average +1.0,,0
