Ticker,Company,Sector,Industry,Price,mcap_bucket,beta_bucket,ret_H,upside_pct,status_extension,status_trend,status_short,status_street,price_score,flow_score,technical_score,positioning_score,valuation_score,fundamental_score,catalyst_score,n_pos,n_neg,w_pos,w_neg,total_score,score_100,confidence,kill_flags,top_pos,top_neg,n_catalysts
RLGT,Radiant Logistics Inc,Industrials,Integrated Freight & Logistics,8.72,small,mid,6.21,26.1,NEUTRAL,UPTREND,LOW,OK,2.03,1.95,2.12,1.06,4.08,1.07,-0.77,12,2,13.2,1.66,11.55,45.8,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Average VolumeΔ +0.4,Insider Transactions -0.9; n_catalysts -0.8,0
LKFT,Lakefront Biotherapeutics NV ADR,Healthcare,Biotechnology,28.55,small,defensive,6.89,8.4,NEUTRAL,MIXED,LOW,OK,2.03,1.5,2.12,1.95,2.22,1.07,-0.77,10,1,10.9,0.77,10.12,40.2,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,18.71,mid,mid,8.65,17.6,NEUTRAL,UPTREND,LOW,OK,2.03,1.5,2.12,1.95,2.16,1.07,-0.77,10,1,10.83,0.77,10.06,39.9,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,n_catalysts -0.8,0
SB,Safe Bulkers Inc,Industrials,Marine Shipping,9.18,small,mid,9.94,-5.1,NEUTRAL,UPTREND,LOW,STREET_EXTENDED,1.02,1.5,2.12,1.95,2.78,1.07,-0.77,10,2,12.46,1.77,9.67,38.4,1.0,STREET_EXTENDED_DISCOUNT,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,upside_pct -1.0; n_catalysts -0.8,0
LTRX,Lantronix Inc,Technology,Communication Equipment,5.85,micro,high,15.84,84.4,NEUTRAL,MIXED,LOW,OK,2.03,1.5,1.88,2.83,1.0,1.07,-0.77,10,2,10.56,1.02,9.53,37.8,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,Volatility (Month) -0.2; n_catalysts -0.8,0
CSHR,CoinShares Plc,Financial,Capital Markets,5.85,small,defensive,13.15,53.8,NEUTRAL,MIXED,LOW,OK,2.03,1.5,1.88,1.95,2.86,0.0,-0.77,9,2,10.46,1.02,9.44,37.5,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,Volatility (Month) -0.2; n_catalysts -0.8,0
APMD,Apnimed Inc,Healthcare,Biotechnology,29.0,small,unknown,13.5,73.6,NEUTRAL,UPTREND,LOW,OK,2.03,1.5,1.62,2.83,1.0,1.07,-0.77,10,2,10.56,1.27,9.28,36.8,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,Volatility (Month) -0.5; n_catalysts -0.8,0
INFU,InfuSystem Holdings Inc,Healthcare,Medical Devices,12.85,micro,mid,4.9,31.0,NEUTRAL,UPTREND,LOW,OK,2.03,1.5,1.62,2.83,1.0,1.07,-0.77,10,1,10.06,0.77,9.28,36.8,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +0.5,n_catalysts -0.8,0
FNUC,Frontier Nuclear and Minerals Inc,Basic Materials,Other Industrial Metals & Mining,1.68,micro,defensive,17.48,792.9,NEUTRAL,MIXED,LOW,OK,2.03,1.5,1.88,1.95,1.0,0.0,0.77,9,1,9.38,0.25,9.13,36.2,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +1.0,Volatility (Month) -0.2,1
ALVO,Alvotech,Healthcare,Drug Manufacturers - Specialty & Generic,5.87,mid,defensive,16.24,19.9,NEUTRAL,UPTREND,LOW,OK,2.03,1.5,1.38,1.95,4.08,-1.07,-0.77,10,3,11.19,2.09,9.1,36.1,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +1.5; Relative Strength Index (14) +0.5,Volatility (Month) -0.2; EPS Surprise -1.1; n_catalysts -0.8,0
INTC,Intel Corp,Technology,Semiconductors,108.6,mega,high,11.74,12.4,NEUTRAL,UPTREND,LOW,OK,2.03,0.75,2.12,1.95,0.3,1.07,0.77,10,0,8.99,0.0,8.99,35.7,1.0,,Price +0.8; Performance (Month)Δ +1.3; Relative Volume +0.8; Relative Strength Index (14) +1.0,,1
