segment_id,family,value,n,pct_universe,median_perf_week,median_perf_month,pct_above_50dma,median_rsi,median_beta,median_short_float,pct_profitable,median_dollar_adv,median_score,pct_score_pos,median_true_ret_1d
beta:low,beta,low,4873,41.84,-0.01,0.08,52.88323414734249,50.21,0.41,2.68,24.58444490047199,1747543.9999999998,-0.75,26.739175046172786,-0.0003901677721419
beta:mid,beta,mid,2857,24.53,-0.02,0.07,60.06300315015751,51.52,1.0,4.26,33.111655582779136,5011282.9,-0.37,39.34196709835492,0.0
beta:high,beta,high,2122,18.22,0.17,-0.47,44.81621112158341,48.83,1.82,5.945,27.191328934967014,5890108.35,0.13,51.60226201696513,0.003680981595092
ext:neutral,ext,neutral,10742,92.24,0.04,0.2,56.386147830943955,51.055,0.8,3.82,24.58573822379445,2155902.5999999996,-0.62,35.1517408303854,0.0
ext:washed,ext,washed,683,5.86,-4.24,-28.95,0.14641288433382138,29.14,0.75,3.9,12.445095168374817,1198060.2,-1.37,26.061493411420205,-0.0004037142361668
ext:extreme,ext,extreme,116,1.0,13.14,78.66499999999999,99.13793103448276,68.07499999999999,1.275,4.63,7.758620689655173,5123094.949999999,-1.89,22.413793103448278,0.00260296033699695
ext:extended,ext,extended,94,0.81,1.04,3.54,98.93617021276596,77.08,0.565,1.86,22.340425531914892,885408.2999999999,-1.87,14.893617021276595,0.0018529013510222999
geo:US,geo,US,10323,88.64,0.0,0.08,54.60621912234815,50.66,0.8,4.455,20.99195970163712,1954185.6,-0.62,33.53676256902063,0.0
geo:ADR-China,geo,ADR-China,241,2.07,-2.75,-4.68,31.535269709543567,44.16,0.75,1.37,31.950207468879665,999376.7,-0.89,34.439834024896264,0.0
geo:ADR-Canada,geo,ADR-Canada,218,1.87,-0.25,4.4,64.6788990825688,52.61,0.935,3.0,45.412844036697244,8996366.399999999,-0.75,38.99082568807339,-0.0058811176717641495
geo:ADR-Israel,geo,ADR-Israel,109,0.94,-1.21,-4.3,29.357798165137616,45.97,1.14,2.445,32.11009174311927,1730200.3,-0.1,49.54128440366973,0.0
geo:ADR-Hong Kong,geo,ADR-Hong Kong,90,0.77,-0.385,-0.95,36.666666666666664,46.315,0.915,1.15,23.333333333333332,687441.45,-0.62,42.22222222222222,0.0
geo:ADR-United Kingdom,geo,ADR-United Kingdom,88,0.76,-0.295,-0.205,50.0,49.155,0.8300000000000001,3.395,47.72727272727273,18093913.050000004,-0.345,48.86363636363637,-0.0005751847458572499
geo:ADR-Singapore,geo,ADR-Singapore,87,0.75,-0.79,-0.43,43.67816091954023,47.69,0.725,0.855,24.137931034482758,334214.8,-1.0,36.7816091954023,0.0
geo:ADR-Brazil,geo,ADR-Brazil,36,0.31,5.65,2.3,66.66666666666666,57.29,0.62,1.045,75.0,17042580.099999998,0.24,55.55555555555556,-0.0120488873515508
geo:ADR-Bermuda,geo,ADR-Bermuda,35,0.3,0.86,2.13,62.857142857142854,54.38,0.59,5.04,80.0,27608684.4,-0.64,40.0,0.0026875438186493
geo:ADR-Switzerland,geo,ADR-Switzerland,29,0.25,0.13,1.38,55.172413793103445,48.0,1.165,3.545,44.827586206896555,34647914.4,-0.64,41.37931034482759,-0.0106382978723404
geo:ADR-Ireland,geo,ADR-Ireland,27,0.23,-0.23,-3.83,44.44444444444444,48.0,0.93,2.91,66.66666666666666,136283143.5,0.55,62.96296296296296,0.0077637853038268
geo:ADR-Japan,geo,ADR-Japan,27,0.23,-1.17,0.585,48.148148148148145,49.445,0.685,0.19,62.96296296296296,3166253.8000000003,-1.15,18.51851851851852,-0.0070921985815602
geo:ADR-Australia,geo,ADR-Australia,26,0.22,-0.345,1.08,38.46153846153847,47.085,1.69,1.23,23.076923076923077,1043356.85,-0.375,34.61538461538461,0.004890960809102399
geo:ADR-Greece,geo,ADR-Greece,25,0.21,4.22,11.76,80.0,64.64,0.78,2.2,80.0,1636091.2,-1.14,32.0,0.000868809730669
geo:ADR-Taiwan,geo,ADR-Taiwan,23,0.2,0.29,0.76,34.78260869565217,49.54,1.04,0.58,43.47826086956522,1391427.7,0.35,56.52173913043478,0.0021373230029386
geo:ADR-Cayman Islands,geo,ADR-Cayman Islands,22,0.19,0.1,0.29,45.45454545454545,48.135,0.44,1.6,27.27272727272727,514922.69999999995,-0.5,22.727272727272727,0.0
geo:ADR-Netherlands,geo,ADR-Netherlands,19,0.16,-1.16,0.62,52.63157894736842,47.01,0.6799999999999999,2.985,63.1578947368421,79297843.7,-0.37,31.57894736842105,-0.0080249665626392
geo:ADR-Mexico,geo,ADR-Mexico,18,0.15,0.26,-1.92,44.44444444444444,46.7,0.61,0.5349999999999999,66.66666666666666,6152092.0,-0.6950000000000001,38.88888888888889,0.0004798464491362
geo:ADR-France,geo,ADR-France,17,0.15,0.0,1.8,52.94117647058824,48.07,0.76,0.52,29.411764705882355,435726.8,-0.37,29.411764705882355,-0.0047961630695442
geo:ADR-Malaysia,geo,ADR-Malaysia,16,0.14,-2.755,-8.33,18.75,44.275000000000006,0.855,0.91,12.5,968687.25,-1.995,18.75,-0.011657090020474149
geo:ADR-Germany,geo,ADR-Germany,15,0.13,-0.17,-4.1,46.666666666666664,47.95,1.175,0.85,40.0,2495724.0,-1.1,46.666666666666664,-0.0044843049327353
geo:ADR-Luxembourg,geo,ADR-Luxembourg,15,0.13,1.93,1.54,66.66666666666666,52.49,0.69,2.93,73.33333333333333,10220479.5,-0.75,40.0,-0.00352733686067
geo:ADR-Argentina,geo,ADR-Argentina,14,0.12,4.975,0.35000000000000003,35.714285714285715,52.625,1.075,0.86,85.71428571428571,5203094.049999999,2.15,78.57142857142857,0.004316464528463499
geo:ADR-South Korea,geo,ADR-South Korea,14,0.12,1.4549999999999998,6.605,85.71428571428571,61.25,1.0350000000000001,0.27,71.42857142857143,12592044.5,-0.675,42.857142857142854,-0.00350857286938975
geo:ADR-United Arab Emirates,geo,ADR-United Arab Emirates,11,0.09,-0.54,1.86,63.63636363636363,51.0,1.09,0.8,45.45454545454545,1715185.2000000002,-1.87,18.181818181818183,-0.0253807106598985
geo:ADR-Chile,geo,ADR-Chile,9,0.08,1.51,-0.33499999999999996,77.77777777777779,50.89,0.565,0.17,88.88888888888889,2646949.0000000005,-0.5,33.33333333333333,-0.005298382598996
geo:ADR-India,geo,ADR-India,9,0.08,-0.55,-2.48,44.44444444444444,45.45,0.85,0.75,77.77777777777779,32073615.0,-1.07,22.22222222222222,-0.0049875311720697
geo:ADR-Sweden,geo,ADR-Sweden,9,0.08,1.51,-0.59,55.55555555555556,51.3,1.495,2.425,44.44444444444444,1478297.1,0.23,55.55555555555556,0.0034632034632033
geo:ADR-Belgium,geo,ADR-Belgium,8,0.07,3.42,13.705,62.5,57.224999999999994,0.69,2.16,62.5,4269109.85,1.665,62.5,0.02224563868399485
geo:ADR-Italy,geo,ADR-Italy,8,0.07,-3.99,-10.184999999999999,50.0,45.345,0.78,2.94,50.0,11703439.6,-1.22,37.5,-0.0042875946288163
geo:ADR-Denmark,geo,ADR-Denmark,6,0.05,1.6400000000000001,6.2299999999999995,66.66666666666666,53.24,0.72,1.05,66.66666666666666,37195663.5,-1.7800000000000002,33.33333333333333,-0.0081501907469109
geo:ADR-South Africa,geo,ADR-South Africa,6,0.05,1.665,19.62,83.33333333333334,57.894999999999996,0.57,0.835,83.33333333333334,43690428.45,-2.22,0.0,-0.02156292971215305
geo:ADR-Cyprus,geo,ADR-Cyprus,5,0.04,2.01,13.64,60.0,57.2,1.48,1.06,100.0,207781.2,0.13,60.0,0.0154117129018052
geo:ADR-Spain,geo,ADR-Spain,5,0.04,1.77,-0.38,60.0,54.23,0.74,1.04,80.0,4834517.999999999,0.25,60.0,-0.0043859649122807
geo:ADR-Colombia,geo,ADR-Colombia,4,0.03,3.99,7.975,100.0,58.19,0.605,0.435,100.0,20123122.6,-2.705,25.0,-0.00539351279294825
geo:ADR-Monaco,geo,ADR-Monaco,4,0.03,6.585,13.69,100.0,67.01,0.84,3.87,75.0,7084991.800000001,0.28,75.0,0.0228597997398415
geo:ADR-Peru,geo,ADR-Peru,4,0.03,1.88,0.78,50.0,51.349999999999994,0.73,1.3050000000000002,100.0,27165135.9,-0.785,0.0,-0.007045804206796799
geo:ADR-Indonesia,geo,ADR-Indonesia,3,0.03,1.85,-0.87,66.66666666666666,52.62,-0.74,4.44,33.33333333333333,1596996.0,1.13,66.66666666666666,0.0027008777852801
geo:ADR-Turkey,geo,ADR-Turkey,3,0.03,-5.56,-6.76,33.33333333333333,46.45,0.89,0.24,33.33333333333333,555920.7,-2.09,0.0,-0.0037313432835821
geo:ADR-Uruguay,geo,ADR-Uruguay,3,0.03,2.13,5.08,100.0,58.41,0.85,2.36,100.0,40314286.400000006,0.25,66.66666666666666,-0.0096969696969697
geo:ADR-Bahamas,geo,ADR-Bahamas,2,0.02,0.71,-0.6450000000000005,0.0,41.28,1.86,3.585,50.0,10566175.2,2.0749999999999997,50.0,0.01200963383271425
geo:ADR-Finland,geo,ADR-Finland,2,0.02,-3.33,-5.93,0.0,41.260000000000005,1.5899999999999999,3.215,100.0,531314914.1,2.295,100.0,0.0311944990839825
geo:ADR-Kazakhstan,geo,ADR-Kazakhstan,2,0.02,-2.365,14.355,100.0,60.285,0.7649999999999999,2.91,100.0,38925808.15,-1.0550000000000002,0.0,0.0020665684536023497
geo:ADR-Norway,geo,ADR-Norway,2,0.02,-1.2950000000000002,1.2850000000000001,50.0,50.285,0.68,0.78,100.0,76039156.95,0.5,50.0,0.0025383575728176004
geo:ADR-Panama,geo,ADR-Panama,2,0.02,2.0949999999999998,-5.29,0.0,48.760000000000005,0.915,3.1799999999999997,100.0,24874195.5,2.9850000000000003,100.0,0.00941386730032645
geo:ADR-Philippines,geo,ADR-Philippines,2,0.02,0.14,-7.625,0.0,41.795,0.66,0.32499999999999996,100.0,2149382.25,-1.575,0.0,-0.0172691021353228
geo:ADR-Jordan,geo,ADR-Jordan,1,0.01,1.65,0.15,0.0,52.5,0.05,2.29,100.0,2513097.6,0.55,100.0,0.0100859170713485
geo:ADR-Thailand,geo,ADR-Thailand,1,0.01,-9.89,-33.31,0.0,26.7,-0.04,0.9,100.0,571482.0,-0.1,0.0,-0.0338983050847457
geo:ADR-Vietnam,geo,ADR-Vietnam,1,0.01,0.0,-6.1,0.0,46.4,0.92,5.39,0.0,1307798.8,-1.39,0.0,0.0
index:none,index,none,9183,78.85,0.0,0.135,54.992921703147125,50.705,0.74,1.86,12.501361210933245,977706.4500000001,-0.62,30.164434280736142,-0.0001620351616301
index:rut,index,rut,1945,16.7,0.44,-0.46,49.97429305912596,50.01,1.0,7.75,57.789203084832906,15056200.899999999,0.25,52.80205655526993,0.0045067601402102
index:sp500,index,sp500,503,4.32,-0.66,-1.3,46.91848906560636,47.82,0.94,2.99,94.23459244532803,398771060.6,-0.75,37.57455268389662,-0.0056322473771396
index:ndx,index,ndx,102,0.88,-0.895,-0.7749999999999999,43.13725490196079,47.885000000000005,1.2,2.795,89.2156862745098,978909097.9000001,-1.01,38.23529411764706,-0.00282566566210875
index:djia,index,djia,30,0.26,-0.22499999999999998,-1.025,46.666666666666664,50.125,0.98,1.42,100.0,1941854673.25,-0.91,36.666666666666664,-0.009510594390003249
industry:Exchange Traded Fund,industry,Exchange Traded Fund,5682,48.79,0.04,0.2,60.084477296726504,51.92,0.69,,0.0,737968.8,-0.62,25.55438225976769,-0.000369003690037
industry:Biotechnology,industry,Biotechnology,599,5.14,0.63,2.28,52.25375626043406,50.49,0.985,7.82,8.848080133555927,3036887.4000000004,-0.32,46.744574290484145,0.0
industry:Shell Companies,industry,Shell Companies,336,2.89,0.05,0.4,80.35714285714286,58.66,0.03,0.01,0.0,528609.2,-0.75,8.333333333333332,0.0
industry:Banks - Regional,industry,Banks - Regional,324,2.78,1.77,-0.395,64.81481481481481,54.894999999999996,0.655,3.215,93.51851851851852,7791770.9,0.43,61.72839506172839,0.006276695285186901
industry:Software - Application,industry,Software - Application,228,1.96,-2.55,0.885,53.50877192982456,49.42,1.04,5.615,45.614035087719294,8490257.2,-0.73,37.719298245614034,-0.0107804033122933
